project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
Signal-Server,api-doc,org.apache.httpcomponents.client5:httpclient5,5.4.1,5.4.2,2,2,test,test,version_managed
Signal-Server,api-doc,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
Signal-Server,api-doc,org.checkerframework:checker-qual,3.48.4,3.43.0,3,3,test,test,version_managed
Signal-Server,api-doc,com.google.errorprone:error_prone_annotations,2.31.0,2.36.0,3,3,test,test,version_managed
Signal-Server,api-doc,org.apache.httpcomponents.core5:httpcore5,5.3.2,5.3.1,3,3,test,test,version_managed
Signal-Server,api-doc,jakarta.xml.bind:jakarta.xml.bind-api,3.0.1,2.3.3,3,3,test,test,version_managed
Signal-Server,api-doc,commons-io:commons-io,2.18.0,2.11.0,3,3,test,test,version_managed
Signal-Server,api-doc,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.3,2.18.1,3,3,test,test,version_managed
Signal-Server,api-doc,org.junit.jupiter:junit-jupiter-params,5.11.4,5.11.2,2,2,test,test,version_managed
Signal-Server,api-doc,org.junit.platform:junit-platform-launcher,1.11.4,1.11.2,2,2,test,test,version_managed
Signal-Server,integration-tests,org.apache.httpcomponents:httpclient,4.5.14,4.5.13,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,commons-codec:commons-codec,1.17.2,1.17.1,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,commons-logging:commons-logging,1.3.5,1.2,4,4,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-codec-http,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-codec-http2,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-codec,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-transport,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-common,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-buffer,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-handler,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-transport-classes-epoll,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,io.netty:netty-resolver,4.1.119.Final,4.1.118.Final,3,3,runtime,runtime,version_managed
Signal-Server,integration-tests,org.apache.httpcomponents.client5:httpclient5,5.4.1,5.4.2,2,2,test,test,version_managed
Signal-Server,integration-tests,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
Signal-Server,integration-tests,org.checkerframework:checker-qual,3.48.4,3.43.0,3,3,test,test,version_managed
Signal-Server,integration-tests,com.google.errorprone:error_prone_annotations,2.31.0,2.36.0,3,3,test,test,version_managed
Signal-Server,integration-tests,org.apache.httpcomponents.core5:httpcore5,5.3.2,5.3.1,3,3,test,test,version_managed
Signal-Server,integration-tests,jakarta.xml.bind:jakarta.xml.bind-api,3.0.1,2.3.3,3,3,test,test,version_managed
Signal-Server,integration-tests,commons-io:commons-io,2.18.0,2.11.0,3,3,test,test,version_managed
Signal-Server,integration-tests,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.3,2.18.1,3,3,test,test,version_managed
