project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
jeepay,jeepay-components-mq,io.micrometer:micrometer-observation,1.13.9,1.12.12,3,3,compile,compile,version_managed
jeepay,jeepay-components-mq,org.slf4j:slf4j-api,2.0.16,2.0.13,2,2,compile,compile,version_managed
jeepay,jeepay-components-mq,com.rabbitmq:amqp-client,5.21.0,5.19.0,3,3,provided,provided,version_managed
jeepay,jeepay-components-mq,org.springframework:spring-context,6.1.16,6.1.15,3,3,compile,compile,version_managed
jeepay,jeepay-components-mq,org.springframework.retry:spring-retry,2.0.11,2.0.10,4,4,provided,provided,version_managed
jeepay,jeepay-components-mq,org.springframework.boot:spring-boot-starter-validation,3.3.7,2.0.5.RELEASE,2,2,provided,provided,version_managed
jeepay,jeepay-components-mq,org.springframework:spring-aop,6.1.16,5.1.0.RELEASE,3,3,compile,compile,version_managed
jeepay,jeepay-components-mq,com.fasterxml.jackson.core:jackson-databind,2.17.3,2.11.1,3,3,provided,provided,version_managed
jeepay,jeepay-components-mq,org.apache.commons:commons-lang3,3.14.0,3.4,4,4,provided,provided,version_managed
jeepay,jeepay-components-mq,commons-codec:commons-codec,1.16.1,1.9,4,4,provided,provided,version_managed
jeepay,jeepay-components-mq,com.alibaba:fastjson,1.2.83,1.2.69,5,5,provided,provided,version_managed
jeepay,jeepay-components-mq,io.netty:netty-all,4.1.116.Final,4.0.42.Final,5,5,provided,provided,version_managed
jeepay,jeepay-components-mq,io.netty:netty-tcnative-boringssl-static,2.0.69.Final,1.1.33.Fork26,5,5,provided,provided,version_managed
jeepay,jeepay-components-mq,commons-logging:commons-logging,1.2,1.1.1,5,6,provided,provided,omitted_conflict
jeepay,jeepay-components-mq,commons-collections:commons-collections,3.2.2,3.2.1,5,6,provided,provided,omitted_conflict
jeepay,jeepay-components-mq,org.jboss.logging:jboss-logging,3.5.3.Final,3.4.3.Final,4,4,provided,provided,version_managed
jeepay,jeepay-components-mq,com.fasterxml:classmate,1.7.0,1.5.1,4,4,provided,provided,version_managed
jeepay,jeepay-components-oss,io.micrometer:micrometer-observation,1.13.9,1.12.12,3,3,provided,provided,version_managed
jeepay,jeepay-components-oss,org.jdom:jdom2,2.0.6.1,2.0.6,2,2,provided,provided,version_managed
jeepay,jeepay-components-oss,org.apache.httpcomponents:httpcore,4.4.16,4.4.1,3,3,provided,provided,version_managed
jeepay,jeepay-components-oss,commons-codec:commons-codec,1.16.1,1.9,3,3,provided,provided,version_managed
jeepay,jeepay-components-oss,com.google.code.gson:gson,2.10.1,2.8.6,3,3,provided,provided,version_managed
jeepay,jeepay-components-oss,org.apache.httpcomponents:httpclient,4.4.1,4.5.12,2,3,provided,provided,omitted_conflict
jeepay,jeepay-components-oss,javax.xml.bind:jaxb-api,2.3.0,2.3.1,3,3,provided,provided,version_managed
jeepay,jeepay-core,io.micrometer:micrometer-observation,1.13.9,1.12.12,2,2,provided,provided,version_managed
jeepay,jeepay-core,io.netty:netty-common,4.1.116.Final,4.1.107.Final,3,3,provided,provided,version_managed
jeepay,jeepay-core,io.netty:netty-handler,4.1.116.Final,4.1.107.Final,3,3,provided,provided,version_managed
jeepay,jeepay-core,io.netty:netty-transport,4.1.116.Final,4.1.107.Final,3,3,provided,provided,version_managed
jeepay,jeepay-core,io.projectreactor:reactor-core,3.6.13,3.6.4,3,3,provided,provided,version_managed
jeepay,jeepay-core,org.slf4j:slf4j-api,2.0.16,2.0.2,3,3,compile,compile,version_managed
jeepay,jeepay-core,jakarta.xml.bind:jakarta.xml.bind-api,4.0.2,3.0.1,4,4,compile,compile,version_managed
jeepay,jeepay-core,org.springframework.boot:spring-boot-autoconfigure,3.3.7,3.2.6,2,2,compile,compile,version_managed
jeepay,jeepay-core,org.springframework.boot:spring-boot-starter-jdbc,3.3.7,3.2.6,2,2,provided,provided,version_managed
jeepay,jeepay-core,com.fasterxml.jackson.core:jackson-databind,2.17.3,2.9.6,2,2,compile,compile,version_managed
jeepay,jeepay-core,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.17.3,2.15.2,6,6,compile,compile,version_managed
jeepay,jeepay-core,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.17.3,2.15.2,6,6,compile,compile,version_managed
jeepay,jeepay-core,com.fasterxml.jackson.core:jackson-annotations,2.17.3,2.16.2,2,2,compile,compile,version_managed
jeepay,jeepay-manager,io.micrometer:micrometer-observation,1.13.9,1.12.12,3,3,compile,compile,version_managed
jeepay,jeepay-manager,com.fasterxml.jackson.core:jackson-databind,2.17.3,2.9.6,2,2,compile,compile,version_managed
jeepay,jeepay-manager,io.netty:netty-common,4.1.116.Final,4.1.107.Final,3,3,compile,compile,version_managed
jeepay,jeepay-manager,io.netty:netty-handler,4.1.116.Final,4.1.107.Final,3,3,compile,compile,version_managed
jeepay,jeepay-manager,io.netty:netty-transport,4.1.116.Final,4.1.107.Final,3,3,compile,compile,version_managed
jeepay,jeepay-manager,io.projectreactor:reactor-core,3.6.13,3.6.4,3,3,compile,compile,version_managed
jeepay,jeepay-manager,org.slf4j:slf4j-api,2.0.16,2.0.2,3,3,compile,compile,version_managed
