project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
apache__rocketmq-exporter,apache__rocketmq-exporter,net.minidev:json-smart,2.4.10,2.4.7,3,3,test,test,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,org.slf4j:slf4j-api,1.7.36,1.7.33,3,3,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,net.bytebuddy:byte-buddy,1.12.23,1.12.9,3,3,test,test,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,net.bytebuddy:byte-buddy-agent,1.12.23,1.12.9,3,3,test,test,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,ch.qos.logback:logback-classic,1.2.12,1.2.10,2,2,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,org.apache.commons:commons-lang3,3.12.0,3.4,2,2,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,commons-codec:commons-codec,1.15,1.9,3,3,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,io.netty:netty-all,4.1.91.Final,4.1.65.Final,4,4,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,org.hamcrest:hamcrest-core,2.2,1.3,2,2,compile,compile,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.10.0,2,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.protobuf:protobuf-java,3.19.4,3.19.2,2,3,compile,compile,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.10.0,2,4,compile,compile,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.protobuf:protobuf-java,3.19.4,3.13.0,2,4,compile,compile,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,3,compile,compile,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.10.0,2,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.code.gson:gson,2.9.1,2.8.9,3,3,runtime,runtime,version_managed
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.10.0,2,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.protobuf:protobuf-java,3.19.4,3.19.2,2,3,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,30.1.1-android,1,3,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.5.1,2,3,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.j2objc:j2objc-annotations,2.8,1.3,2,3,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.guava:guava,32.0.0-jre,31.0.1-android,1,2,compile,runtime,omitted_conflict
apache__rocketmq-exporter,apache__rocketmq-exporter,com.google.errorprone:error_prone_annotations,2.18.0,2.10.0,2,2,compile,runtime,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
apache__rocketmq-exporter,144,,,,,,,,
