project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
binarywang__WxJava,wx-java-channel-multi-solon-plugin,com.fasterxml.jackson.core:jackson-core,2.18.4,2.18.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-multi-solon-plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.4,2.18.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-multi-solon-plugin,org.bouncycastle:bcpkix-jdk18on,1.80,1.78.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-multi-solon-plugin,com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,4,4,compile,compile,omitted_conflict
binarywang__WxJava,wx-java-channel-multi-solon-plugin,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-channel-multi-solon-plugin,com.fasterxml.jackson.core:jackson-databind,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-channel-multi-solon-plugin,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,2,4,provided,provided,omitted_conflict
binarywang__WxJava,wx-java-channel-multi-solon-plugin,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,4,4,provided,provided,omitted_conflict
binarywang__WxJava,wx-java-channel-multi-solon-plugin,org.yaml:snakeyaml,2.3,2.4,3,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-channel-multi-solon-plugin,net.bytebuddy:byte-buddy,1.14.5,1.12.19,2,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-channel-solon-plugin,com.fasterxml.jackson.core:jackson-core,2.18.4,2.18.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-solon-plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.4,2.18.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-solon-plugin,org.bouncycastle:bcpkix-jdk18on,1.80,1.78.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-channel-solon-plugin,com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,4,4,compile,compile,omitted_conflict
binarywang__WxJava,wx-java-channel-solon-plugin,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-channel-solon-plugin,com.fasterxml.jackson.core:jackson-databind,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-channel-solon-plugin,org.yaml:snakeyaml,2.3,2.4,3,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-channel-solon-plugin,net.bytebuddy:byte-buddy,1.14.5,1.12.19,2,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-cp-multi-solon-plugin,com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,4,4,compile,compile,omitted_conflict
binarywang__WxJava,wx-java-cp-multi-solon-plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-multi-solon-plugin,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-multi-solon-plugin,com.fasterxml.jackson.core:jackson-databind,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-multi-solon-plugin,org.yaml:snakeyaml,2.3,2.4,3,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-cp-multi-solon-plugin,net.bytebuddy:byte-buddy,1.14.5,1.12.19,2,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-cp-solon-plugin,com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,4,4,compile,compile,omitted_conflict
binarywang__WxJava,wx-java-cp-solon-plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-solon-plugin,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-solon-plugin,com.fasterxml.jackson.core:jackson-databind,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-cp-solon-plugin,org.yaml:snakeyaml,2.3,2.4,3,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-cp-solon-plugin,net.bytebuddy:byte-buddy,1.14.5,1.12.19,2,3,provided,test,omitted_conflict
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,org.bouncycastle:bcpkix-jdk18on,1.80,1.78.1,2,2,compile,compile,version_managed
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,com.google.errorprone:error_prone_annotations,2.38.0,2.28.0,4,4,compile,compile,omitted_conflict
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,com.fasterxml.jackson.core:jackson-databind,2.18.4,2.15.2,2,2,provided,provided,version_managed
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,2,4,provided,provided,omitted_conflict
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.10,1.8.21,4,4,provided,provided,omitted_conflict
binarywang__WxJava,wx-java-miniapp-multi-solon-plugin,org.yaml:snakeyaml,2.3,2.4,3,3,provided,test,omitted_conflict
