project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,1.7.30,1,3,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,commons-io:commons-io,2.16.1,2.18.0,2,3,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,1.7.30,1,3,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,1.7.30,1,3,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.apache.httpcomponents.client5:httpclient5,5.4.3,5.4.4,1,2,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.apache.commons:commons-lang3,3.17.0,3.16.0,1,2,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,compile,compile,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,net.bytebuddy:byte-buddy,1.15.11,1.17.5,2,3,provided,provided,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,net.bytebuddy:byte-buddy,1.15.11,1.17.5,2,3,provided,provided,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,compile,provided,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,2.0.6,1,2,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.junit.jupiter:junit-jupiter-engine,5.13.1,5.9.2,2,2,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-buffer,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-codec-http,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-common,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-handler,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-transport,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,commons-io:commons-io,2.16.1,2.11.0,2,3,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,com.google.guava:guava,33.4.8-jre,31.1-jre,2,3,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,2.0.6,1,2,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.apache.commons:commons-lang3,3.17.0,3.12.0,1,4,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,com.google.guava:guava,33.4.8-jre,31.1-jre,2,3,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.slf4j:slf4j-api,2.0.17,2.0.6,1,2,compile,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,javax.servlet:javax.servlet-api,3.1.0,4.0.1,3,4,provided,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-buffer,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-codec-http,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-handler,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,io.netty:netty-transport,4.1.121.Final,4.1.86.Final,2,3,test,test,omitted_conflict
bonigarcia__webdrivermanager,bonigarcia__webdrivermanager,org.bouncycastle:bcprov-jdk18on,1.80,1.72,4,4,test,test,omitted_conflict
