project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-cli,commons-codec:commons-codec,1.15,1.11,2,2,runtime,runtime,version_managed
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-cli,org.apache.httpcomponents:httpmime,4.5.14,4.5.13,2,2,runtime,runtime,version_managed
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-cli,com.fasterxml.jackson.core:jackson-annotations,2.15.1,2.10.3,2,3,compile,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-cli,org.slf4j:slf4j-api,1.7.36,1.7.30,2,3,test,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-cli,org.slf4j:slf4j-api,1.7.36,1.7.25,2,3,test,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,commons-codec:commons-codec,1.15,1.11,2,2,runtime,runtime,version_managed
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.codehaus.plexus:plexus-utils,3.2.1,1.5.5,2,4,compile,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.slf4j:slf4j-api,1.7.36,1.7.29,2,3,provided,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.slf4j:slf4j-api,1.7.36,1.7.25,2,3,provided,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.codehaus.plexus:plexus-component-annotations,2.1.0,1.5.5,2,3,provided,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.codehaus.plexus:plexus-classworlds,2.6.0,2.5.2,2,3,provided,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.codehaus.plexus:plexus-utils,3.2.1,3.0.17,2,3,compile,provided,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,com.google.guava:guava,32.0.0-jre,25.1-android,3,3,compile,compile,version_managed
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.codehaus.plexus:plexus-utils,3.2.1,3.4.1,2,2,compile,compile,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.apache.httpcomponents:httpmime,4.5.14,4.5.13,2,2,runtime,runtime,version_managed
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.apache.commons:commons-lang3,3.8.1,3.11,2,3,provided,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.apache.commons:commons-lang3,3.8.1,3.11,2,3,provided,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.apache.maven.shared:maven-shared-utils,3.2.1,0.8,2,2,compile,compile,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.slf4j:slf4j-api,1.7.36,1.7.30,2,3,provided,test,omitted_conflict
confluence-publisher__confluence-publisher,asciidoc-confluence-publisher-maven-plugin,org.slf4j:slf4j-api,1.7.36,1.7.25,2,3,provided,test,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
asciidoc-confluence-publisher-cli,33,,,,,,,,
asciidoc-confluence-publisher-client,33,,,,,,,,
asciidoc-confluence-publisher-converter,43,,,,,,,,
asciidoc-confluence-publisher-maven-plugin,71,,,,,,,,
