project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
dromara__liteflow,liteflow-rule-apollo,com.google.guava:guava,31.0.1-jre,30.1-jre,3,3,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.grpc:grpc-netty,1.48.0,1.47.0,3,4,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.grpc:grpc-protobuf,1.48.0,1.47.0,3,4,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.grpc:grpc-stub,1.48.0,1.47.0,3,4,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,com.google.guava:guava,31.1-jre,30.1.1-jre,3,4,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-common,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-buffer,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-transport,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-handler,4.1.84.Final,4.1.78.Final,1,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-handler-proxy,4.1.77.Final,4.1.78.Final,4,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-codec-http2,4.1.77.Final,4.1.78.Final,4,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-resolver,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,com.fasterxml.jackson.core:jackson-core,2.16.0,2.13.2,3,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-common,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-buffer,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-transport,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-codec,4.1.84.Final,4.1.78.Final,2,6,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-handler,4.1.84.Final,4.1.78.Final,1,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-common,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-buffer,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-resolver,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-transport,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-codec,4.1.84.Final,4.1.78.Final,2,6,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-handler,4.1.84.Final,4.1.78.Final,1,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-common,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-buffer,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-transport,4.1.84.Final,4.1.78.Final,2,5,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,io.netty:netty-codec,4.1.84.Final,4.1.78.Final,2,6,compile,compile,omitted_conflict
dromara__liteflow,liteflow-rule-etcd,com.google.guava:guava,31.1-jre,31.1-android,3,4,compile,runtime,omitted_conflict
