project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,2.0.5,2,3,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,1.7.25,2,2,compile,compile,omitted_conflict
grishka__Smithereen,grishka__Smithereen,org.slf4j:slf4j-api,2.0.16,1.7.6,2,2,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
grishka__Smithereen,50,,,,,,,,
