project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.aspectj:aspectjrt,1.9.21,1.9.21.1,2,2,compile,compile,version_managed
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,2.0.16,1,2,test,compile,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,test,compile,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,test,compile,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,test,compile,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.36,1,2,test,test,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.hamcrest:hamcrest-core,3.0,1.3,1,3,test,test,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.30,1,3,test,test,omitted_conflict
jcabi__jcabi-ssh,jcabi__jcabi-ssh,org.slf4j:slf4j-api,2.0.17,1.7.25,1,3,test,test,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
jcabi__jcabi-ssh,45,,,,,,,,
