project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.fasterxml.jackson.core:jackson-databind,2.17.1,2.18.3,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.17.1,2.18.3,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.slf4j:slf4j-api,2.0.13,2.0.17,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.projectreactor:reactor-core,3.6.6,3.7.5,3,3,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.micrometer:context-propagation,1.1.1,1.1.3,4,4,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.fasterxml.jackson.module:jackson-module-jsonSchema,2.17.1,2.18.3,4,4,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.springframework.retry:spring-retry,2.0.6,2.0.11,3,3,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.springframework:spring-webflux,6.1.8,6.2.6,3,3,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.springframework:spring-context-support,6.1.8,6.2.6,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.springframework.boot:spring-boot-starter-jdbc,3.3.0,3.2.0,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.mybatis.spring.boot:mybatis-spring-boot-starter,3.0.3,2.3.2,1,2,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,net.bytebuddy:byte-buddy,1.14.16,1.14.11,3,3,test,test,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,net.bytebuddy:byte-buddy-agent,1.14.16,1.14.12,3,3,test,test,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.apache.commons:commons-lang3,3.14.0,3.12.0,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.bytedeco:javacpp,1.5.10,1.5.9,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,commons-codec:commons-codec,1.16.1,1.13,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.squareup.okhttp3:logging-interceptor,4.12.0,3.6.0,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.fasterxml.jackson.core:jackson-annotations,2.17.1,2.13.5,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.fasterxml.jackson.core:jackson-core,2.17.1,2.13.5,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.apache.httpcomponents:httpcore,4.4.16,4.4.15,3,3,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.15,3,3,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.alibaba:fastjson,1.2.83,1.2.41,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.squareup.okio:okio,3.6.0,1.13.0,2,3,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,com.alibaba.nls:nls-sdk-common,2.2.1,2.2.17,2,2,compile,compile,omitted_conflict
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-transport,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-handler,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-common,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-codec-http,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-codec,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,io.netty:netty-buffer,4.1.110.Final,4.1.17.Final,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.slf4j:slf4j-simple,2.0.13,2.0.7,2,2,compile,compile,version_managed
joey-zhou__xiaozhi-esp32-server-java,joey-zhou__xiaozhi-esp32-server-java,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.24,1.8.21,2,2,compile,compile,version_managed
