project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.google.code.gson:gson,2.11.0,2.8.9,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.slf4j:slf4j-api,2.0.17,2.0.7,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.slf4j:slf4j-simple,2.0.17,2.0.7,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.25,1.8.21,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.github.victools:jsonschema-generator,4.38.0,4.31.1,1,2,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.reactivestreams:reactive-streams,1.0.4,1.0.3,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.jetbrains.kotlin:kotlin-stdlib-common,1.9.25,1.9.10,4,4,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,commons-codec:commons-codec,1.17.2,1.17.0,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.springframework:spring-webflux,6.2.5,6.2.2,4,4,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.apache.httpcomponents:httpcore,4.4.16,4.4.13,5,5,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.squareup.okhttp3:okhttp,4.12.0,3.12.13,2,7,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.jacoco:org.jacoco.agent,0.8.6,0.8.4,5,7,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.google.errorprone:error_prone_annotations,2.27.0,2.3.4,3,7,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.google.errorprone:error_prone_annotations,2.27.0,2.3.4,3,7,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,io.prometheus:simpleclient,0.16.0,0.15.0,5,5,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.15,6,6,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.alibaba:dashscope-sdk-java,2.19.1,2.18.3,1,2,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.fasterxml.jackson.core:jackson-core,2.18.3,2.17.2,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.fasterxml.jackson.core:jackson-databind,2.18.3,2.17.2,2,2,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.fasterxml.jackson.module:jackson-module-jsonSchema,2.18.3,2.18.2,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,io.projectreactor:reactor-core,3.7.4,3.7.2,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.springframework:spring-messaging,6.2.5,6.2.2,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,io.micrometer:micrometer-core,1.14.5,1.14.3,3,3,compile,compile,version_managed
liyupi__yu-ai-agent,liyupi__yu-ai-agent,com.github.victools:jsonschema-generator,4.38.0,4.37.0,1,3,compile,compile,omitted_conflict
liyupi__yu-ai-agent,liyupi__yu-ai-agent,org.apache.commons:commons-lang3,3.17.0,3.13.0,6,6,compile,compile,version_managed
