project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
paulcwarren__spring-content,spring-content-autoconfigure,io.micrometer:micrometer-observation,1.15.0,1.14.7,4,4,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.slf4j:slf4j-api,2.0.17,2.0.2,2,2,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-http,12.0.21,10.0.22,2,2,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-client,12.0.21,10.0.22,2,2,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-util,12.0.21,10.0.22,2,2,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-io,12.0.21,10.0.22,2,2,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.slf4j:jcl-over-slf4j,2.0.17,2.0.13,2,2,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-alpn-java-client,12.0.21,10.0.22,2,2,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,org.eclipse.jetty:jetty-alpn-client,12.0.21,10.0.22,3,3,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,commons-codec:commons-codec,1.18.0,1.11,3,3,compile,compile,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,io.netty:netty-handler,4.1.121.Final,4.1.105.Final,4,4,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,io.netty:netty-transport-native-epoll,4.1.121.Final,4.1.105.Final,4,4,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,io.netty:netty-tcnative-boringssl-static,2.0.70.Final,2.0.61.Final,4,4,runtime,runtime,version_managed
paulcwarren__spring-content,spring-content-autoconfigure,commons-io:commons-io,2.8.0,2.11.0,2,4,runtime,runtime,omitted_conflict
