project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.4.1,1,4,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-classworlds,2.8.0,2.6.0,2,3,provided,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,3.5.1,1,2,compile,provided,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,4.0.1,1,3,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,commons-io:commons-io,2.19.0,2.16.1,1,2,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.apache.commons:commons-compress,1.27.1,1.26.2,1,3,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.tukaani:xz,1.10,1.9,1,3,compile,runtime,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,4.0.1,1,3,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,commons-io:commons-io,2.19.0,2.16.1,1,2,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.codehaus.plexus:plexus-utils,4.0.2,1.5.5,1,2,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,commons-codec:commons-codec,1.18.0,1.17.1,1,2,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,commons-io:commons-io,2.19.0,2.16.1,1,2,compile,compile,omitted_conflict
tcurdt__jdeb,tcurdt__jdeb,org.apache.commons:commons-lang3,3.17.0,3.16.0,1,2,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
tcurdt__jdeb,56,,,,,,,,
maven,0,,,,,,,,
no-datasets,0,,,,,,,,
project-build-outputTimestamp,0,,,,,,,,
property-expansion,0,,,,,,,,
