project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
trivago__cluecumber,core,com.google.code.gson:gson,2.12.1,2.10.1,2,3,compile,compile,omitted_conflict
trivago__cluecumber,engine,com.google.code.gson:gson,2.12.1,2.10.1,1,2,compile,compile,omitted_conflict
trivago__cluecumber,core-example,com.google.code.gson:gson,2.12.1,2.10.1,3,4,compile,compile,omitted_conflict
trivago__cluecumber,maven,com.google.code.gson:gson,2.12.1,2.10.1,3,4,compile,compile,omitted_conflict
trivago__cluecumber,maven,org.apache.maven:maven-model,3.9.6,3.9.9,1,2,provided,provided,omitted_conflict
trivago__cluecumber,maven,org.apache.maven:maven-artifact,3.9.6,3.9.9,1,2,provided,provided,omitted_conflict
trivago__cluecumber,maven,org.codehaus.plexus:plexus-classworlds,2.8.0,2.6.0,2,3,provided,provided,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
core,24,,,,,,,,
engine,23,,,,,,,,
core-example,13,,,,,,,,
maven,36,,,,,,,,
