project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,io.micrometer:micrometer-observation,1.13.11,1.12.12,3,3,compile,compile,version_managed
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,org.jboss.logging:jboss-logging,3.5.3.Final,3.4.3.Final,3,3,compile,compile,version_managed
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,org.slf4j:slf4j-api,2.0.16,2.0.11,3,3,compile,compile,version_managed
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,net.bytebuddy:byte-buddy,1.14.19,1.14.11,3,3,test,test,version_managed
wimdeblauwe__error-handling-spring-boot-starter,wimdeblauwe__error-handling-spring-boot-starter,net.bytebuddy:byte-buddy-agent,1.14.19,1.14.12,3,3,test,test,version_managed
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
wimdeblauwe__error-handling-spring-boot-starter,88,,,,,,,,
