project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
818000__bus,bus-cache,org.apache.logging.log4j:log4j-api,2.25.1,2.24.3,4,6,compile,compile,omitted_conflict
818000__bus,bus-cache,com.google.errorprone:error_prone_annotations,2.36.0,2.40.0,2,2,compile,compile,omitted_conflict
818000__bus,bus-extra,com.github.houbb:heaven,0.2.0,0.1.129,2,3,compile,compile,omitted_conflict
818000__bus,bus-extra,org.apache.commons:commons-lang3,3.18.0,3.12.0,2,2,compile,compile,omitted_conflict
818000__bus,bus-extra,org.apache.commons:commons-lang3,3.18.0,3.12.0,2,2,compile,compile,omitted_conflict
818000__bus,bus-extra,com.alibaba.fastjson2:fastjson2,2.0.58,2.0.43,1,4,compile,compile,omitted_conflict
818000__bus,bus-extra,org.apache.commons:commons-lang3,3.18.0,3.12.0,2,2,compile,compile,omitted_conflict
818000__bus,bus-extra,com.github.luben:zstd-jni,1.5.6-6,1.5.2-2,2,4,compile,compile,omitted_conflict
818000__bus,bus-extra,commons-codec:commons-codec,1.19.0,1.13,2,4,compile,compile,omitted_conflict
818000__bus,bus-extra,org.jetbrains.kotlin:kotlin-stdlib,1.4.21,1.6.20,2,7,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.squareup.okio:okio-jvm,3.4.0,3.2.0,4,8,compile,runtime,omitted_conflict
818000__bus,bus-extra,org.jetbrains.kotlin:kotlin-stdlib,1.4.21,1.6.20,2,7,compile,runtime,omitted_conflict
818000__bus,bus-extra,org.jetbrains.kotlin:kotlin-stdlib,1.4.21,1.6.20,2,7,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.fasterxml.jackson.core:jackson-core,2.19.2,2.15.2,2,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.guava:guava,32.0.1-jre,31.1-android,4,5,compile,compile,omitted_conflict
818000__bus,bus-extra,com.google.errorprone:error_prone_annotations,2.38.0,2.14.0,2,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.errorprone:error_prone_annotations,2.38.0,2.14.0,2,6,compile,compile,omitted_conflict
818000__bus,bus-extra,com.google.guava:guava,32.0.1-jre,31.1-android,4,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.guava:guava,32.0.1-jre,31.1-android,4,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.errorprone:error_prone_annotations,2.38.0,2.14.0,2,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.code.gson:gson,2.13.1,2.9.0,1,6,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.errorprone:error_prone_annotations,2.38.0,2.14.0,2,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.guava:guava,32.0.1-jre,31.1-android,4,5,compile,runtime,omitted_conflict
818000__bus,bus-extra,com.google.guava:guava,32.0.1-jre,20.0,4,4,compile,compile,omitted_conflict
818000__bus,bus-extra,org.slf4j:slf4j-api,1.7.36,2.0.16,2,2,compile,compile,omitted_conflict
818000__bus,bus-starter,com.google.errorprone:error_prone_annotations,2.38.0,2.40.0,2,3,compile,compile,omitted_conflict
818000__bus,bus-starter,com.alibaba.fastjson2:fastjson2,2.0.58,2.0.56,1,2,compile,compile,omitted_conflict
818000__bus,bus-starter,jakarta.json:jakarta.json-api,2.0.1,2.0.2,2,3,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,1.7.25,3,4,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-handler,4.2.2.Final,4.1.105.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,1.7.30,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-common,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-buffer,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport-native-unix-common,4.2.2.Final,4.1.105.Final,4,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-common,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-buffer,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport,4.2.2.Final,4.1.105.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport-native-unix-common,4.2.2.Final,4.1.105.Final,4,6,compile,compile,omitted_conflict
818000__bus,bus-starter,com.google.errorprone:error_prone_annotations,2.38.0,2.18.0,2,5,compile,compile,omitted_conflict
818000__bus,bus-starter,ch.qos.logback:logback-core,1.2.13,1.5.18,5,6,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,2.0.17,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,org.apache.logging.log4j:log4j-api,2.25.1,2.24.3,4,6,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,2.0.16,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,2.0.17,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,2.0.2,3,4,compile,compile,omitted_conflict
818000__bus,bus-starter,org.slf4j:slf4j-api,1.7.36,2.0.2,3,4,compile,compile,omitted_conflict
818000__bus,bus-starter,commons-logging:commons-logging,1.2,1.3.5,3,4,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-codec-http,4.2.2.Final,4.2.3.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-codec-http2,4.2.2.Final,4.2.3.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-resolver-dns,4.2.2.Final,4.2.3.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport-native-epoll,4.1.105.Final,4.2.3.Final,5,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-common,4.2.2.Final,4.2.3.Final,3,7,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-resolver-dns,4.2.2.Final,4.2.3.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport-native-unix-common,4.2.2.Final,4.2.3.Final,4,7,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-handler,4.2.2.Final,4.2.3.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-handler-proxy,4.2.2.Final,4.2.3.Final,3,6,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-resolver-dns,4.2.2.Final,4.2.3.Final,3,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-transport-native-epoll,4.1.105.Final,4.2.3.Final,5,5,compile,compile,omitted_conflict
818000__bus,bus-starter,io.netty:netty-common,4.2.2.Final,4.2.3.Final,3,5,compile,runtime,omitted_conflict
818000__bus,bus-starter,jakarta.servlet:jakarta.servlet-api,6.1.0,6.0.0,1,3,compile,compile,omitted_conflict
818000__bus,bus-starter,jakarta.annotation:jakarta.annotation-api,3.0.0,2.1.1,3,3,compile,compile,omitted_conflict
818000__bus,bus-starter,org.jboss.logging:jboss-logging,3.4.3.Final,3.3.1.Final,4,6,compile,compile,omitted_conflict
