project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,com.fasterxml:classmate,1.7.0,1.5.1,5,5,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,org.apache.commons:commons-pool2,2.12.1,2.12.0,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,com.google.code.gson:gson,2.13.1,2.11.0,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,io.netty:netty-common,4.1.121.Final,4.1.118.Final,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,io.netty:netty-handler,4.1.121.Final,4.1.118.Final,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,io.netty:netty-transport,4.1.121.Final,4.1.118.Final,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,io.projectreactor:reactor-core,3.7.6,3.6.6,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,io.reactivex.rxjava3:rxjava,3.1.10,3.1.8,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.19.0,2.18.2,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,com.fasterxml.jackson.core:jackson-core,2.19.0,2.18.2,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,com.fasterxml.jackson.core:jackson-databind,2.19.0,2.18.2,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,net.bytebuddy:byte-buddy,1.17.5,1.15.3,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter,org.objenesis:objenesis,3.4,3.3,3,3,provided,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,bucket4j-spring-boot-starter-context,io.micrometer:micrometer-observation,1.15.0,1.14.7,2,2,provided,provided,version_managed
MarcGiffing__bucket4j-spring-boot-starter,caffeine,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,caffeine,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,caffeine,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,caffeine,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,caffeine,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,org.glassfish.jaxb:jaxb-runtime,4.0.5,"[2.2,3",2,2,runtime ),runtime ),version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,org.apache.httpcomponents.client5:httpclient5,5.4.4,5.4.2,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,ehcache,commons-codec:commons-codec,1.18.0,1.17.1,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.eclipse.jgit:org.eclipse.jgit,6.10.1.202505221210-r,6.7.0.202309050840-r,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.groovy:groovy,4.0.26,4.0.21,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.groovy:groovy-nio,4.0.26,4.0.21,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.groovy:groovy-json,4.0.26,4.0.21,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.groovy:groovy-xml,4.0.26,4.0.21,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.commons:commons-lang3,3.17.0,3.13.0,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.hamcrest:hamcrest-core,3.0,2.2,5,5,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,commons-codec:commons-codec,1.18.0,1.17.0,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,gateway,com.jcraft:jsch,0.1.55,0.1.49,3,3,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,gateway,org.apache.maven.resolver:maven-resolver-api,1.9.18,1.9.22,3,4,test,test,omitted_conflict
MarcGiffing__bucket4j-spring-boot-starter,general-tests,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,general-tests,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,general-tests,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,general-tests,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,general-tests,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,general-tests,io.micrometer:micrometer-observation,1.15.0,1.14.7,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,hazelcast,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,hazelcast,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,hazelcast,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,hazelcast,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,hazelcast,net.bytebuddy:byte-buddy,1.17.5,1.15.11,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,com.google.code.gson:gson,2.13.1,2.12.1,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.testcontainers:junit-jupiter,1.21.0,1.18.0,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.junit.jupiter:junit-jupiter-api,5.12.2,5.8.2,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.junit.jupiter:junit-jupiter-params,5.12.2,5.8.2,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.junit.jupiter:junit-jupiter-engine,5.12.2,5.8.2,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.testcontainers:testcontainers,1.21.0,1.18.0,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.apache.httpcomponents.client5:httpclient5,5.4.4,5.1.4,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.hamcrest:hamcrest-core,3.0,1.3,5,5,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,io.lettuce:lettuce-core,6.5.5.RELEASE,6.2.3.RELEASE,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,io.netty:netty-common,4.1.121.Final,4.1.118.Final,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,io.netty:netty-handler,4.1.121.Final,4.1.118.Final,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,io.netty:netty-transport,4.1.121.Final,4.1.118.Final,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,io.projectreactor:reactor-core,3.7.6,3.6.6,4,4,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,org.hamcrest:hamcrest,3.0,2.1,2,2,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,net.bytebuddy:byte-buddy,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-jedis,net.bytebuddy:byte-buddy-agent,1.17.5,1.15.11,3,3,test,test,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,org.jboss.logging:jboss-logging,3.6.1.Final,3.4.3.Final,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,com.fasterxml:classmate,1.7.0,1.5.1,3,3,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,io.netty:netty-common,4.1.121.Final,4.1.118.Final,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,io.netty:netty-handler,4.1.121.Final,4.1.118.Final,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,io.netty:netty-transport,4.1.121.Final,4.1.118.Final,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,io.projectreactor:reactor-core,3.7.6,3.6.6,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,io.netty:netty-resolver-dns,4.1.121.Final,4.1.118.Final,2,2,compile,compile,version_managed
MarcGiffing__bucket4j-spring-boot-starter,redis-lettuce,org.slf4j:slf4j-api,2.0.17,1.7.36,3,3,compile,compile,version_managed
