project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
SPARQL-Anything__sparql.anything,sparql-anything-archive,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-archive,org.apache.commons:commons-csv,1.8,1.11.0,7,7,compile,compile,version_managed
SPARQL-Anything__sparql.anything,sparql-anything-archive,com.google.errorprone:error_prone_annotations,2.21.1,2.27.0,3,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-archive,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-bibliography,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-bibliography,org.apache.commons:commons-csv,1.8,1.11.0,7,7,compile,compile,version_managed
SPARQL-Anything__sparql.anything,sparql-anything-bibliography,org.apache.commons:commons-compress,1.26.0,1.26.2,7,7,compile,compile,version_managed
SPARQL-Anything__sparql.anything,sparql-anything-bibliography,com.google.errorprone:error_prone_annotations,2.21.1,2.27.0,3,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-bibliography,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-binary,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-binary,org.apache.commons:commons-csv,1.8,1.11.0,7,7,compile,compile,version_managed
SPARQL-Anything__sparql.anything,sparql-anything-binary,org.apache.commons:commons-compress,1.26.0,1.26.2,7,7,compile,compile,version_managed
SPARQL-Anything__sparql.anything,sparql-anything-binary,com.google.errorprone:error_prone_annotations,2.21.1,2.27.0,3,6,compile,compile,omitted_conflict
SPARQL-Anything__sparql.anything,sparql-anything-binary,org.slf4j:slf4j-api,1.7.7,2.0.13,1,6,compile,compile,omitted_conflict
