project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,com.google.guava:guava,33.3.1-jre,29.0-jre,1,2,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.slf4j:slf4j-api,2.0.9,2.0.0,1,2,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.projectlombok:lombok,RELEASE,1.18.26,1,2,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,com.google.code.gson:gson,2.10.1,2.8.9,1,2,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.slf4j:slf4j-api,2.0.9,2.0.7,1,2,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,1.9.10,2,4,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.jetbrains.kotlin:kotlin-stdlib-common,1.8.21,1.9.10,4,4,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,org.slf4j:slf4j-api,2.0.9,2.0.3,1,3,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,com.google.guava:guava,33.3.1-jre,27.0.1-jre,1,3,compile,compile,omitted_conflict
TheKingOfDuck__SinkFinder,TheKingOfDuck__SinkFinder,com.google.guava:guava,33.3.1-jre,23.5-jre,1,4,compile,compile,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
TheKingOfDuck__SinkFinder,50,,,,,,,,
