project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
helix-agent,51,,,,,,,,
helix-common,42,,,,,,,,
helix-core,53,,,,,,,,
helix-lock,52,,,,,,,,
helix-rest,100,,,,,,,,
helix-view-aggregator,52,,,,,,,,
meta-client,48,,,,,,,,
metadata-store-directory-common,27,,,,,,,,
metrics-common,12,,,,,,,,
distributed-lock-manager,52,,,,,,,,
rabbitmq-consumer-group,49,,,,,,,,
rsync-replicated-file-system,54,,,,,,,,
service-discovery,52,,,,,,,,
task-execution,54,,,,,,,,
zookeeper-api,47,,,,,,,,
