project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
apache__openmeetings,openmeetings-core,org.apache.commons:commons-compress,1.28.0,1.27.1,5,6,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-core,org.apache.commons:commons-collections4,4.4,4.5.0,2,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-core,org.apache.commons:commons-collections4,4.4,4.5.0,2,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-core,org.apache.commons:commons-text,1.14.0,1.12.0,2,2,compile,compile,version_managed
apache__openmeetings,openmeetings-core,org.apache.commons:commons-lang3,3.18.0,3.15.0,2,2,compile,compile,version_managed
apache__openmeetings,openmeetings-core,commons-codec:commons-codec,1.19.0,1.17.1,2,2,compile,compile,version_managed
apache__openmeetings,openmeetings-core,com.google.code.gson:gson,2.10,2.9.1,3,3,runtime,runtime,version_managed
apache__openmeetings,openmeetings-core,org.checkerframework:checker-qual,3.49.3,3.43.0,3,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-core,net.bytebuddy:byte-buddy,1.17.6,1.14.1,3,3,compile,test,omitted_conflict
apache__openmeetings,openmeetings-db,org.apache.commons:commons-collections4,4.5.0,4.4,3,5,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-db,org.apache.commons:commons-compress,1.28.0,1.27.1,4,5,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-db,org.apache.commons:commons-collections4,4.5.0,4.4,3,5,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-db,net.bytebuddy:byte-buddy,1.17.6,1.14.1,2,3,compile,test,omitted_conflict
apache__openmeetings,openmeetings-install,org.slf4j:slf4j-api,2.0.17,2.0.16,2,2,compile,compile,version_managed
apache__openmeetings,openmeetings-install,org.apache.commons:commons-compress,1.28.0,1.27.1,6,7,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-install,org.apache.commons:commons-collections4,4.4,4.5.0,3,4,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-install,net.bytebuddy:byte-buddy,1.14.1,1.17.6,3,4,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-install,org.apache.commons:commons-collections4,4.4,4.5.0,3,4,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-install,org.apache.commons:commons-text,1.14.0,1.12.0,3,3,compile,compile,version_managed
apache__openmeetings,openmeetings-install,org.apache.commons:commons-lang3,3.18.0,3.15.0,3,3,compile,compile,version_managed
apache__openmeetings,openmeetings-install,commons-codec:commons-codec,1.19.0,1.17.1,3,3,compile,compile,version_managed
apache__openmeetings,openmeetings-install,com.google.code.gson:gson,2.10,2.9.1,4,4,runtime,runtime,version_managed
apache__openmeetings,openmeetings-install,org.checkerframework:checker-qual,3.49.3,3.43.0,4,4,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-mediaserver,org.apache.commons:commons-collections4,4.5.0,4.4,3,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-mediaserver,org.apache.commons:commons-compress,1.28.0,1.27.1,4,5,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-mediaserver,org.apache.commons:commons-collections4,4.5.0,4.4,3,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-mediaserver,org.apache.commons:commons-collections4,4.5.0,4.4,3,3,compile,compile,omitted_conflict
apache__openmeetings,openmeetings-mediaserver,com.google.code.gson:gson,2.10,2.9.1,4,4,compile,compile,version_managed
apache__openmeetings,openmeetings-mediaserver,org.checkerframework:checker-qual,3.49.3,3.43.0,3,4,compile,compile,omitted_conflict
