project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
batik-anim,17,,,,,,,,
batik-awt-util,8,,,,,,,,
batik-bridge,27,,,,,,,,
batik-codec,23,,,,,,,,
batik-constants,2,,,,,,,,
batik-css,11,,,,,,,,
batik-dom,13,,,,,,,,
batik-ext,2,,,,,,,,
batik-extension,21,,,,,,,,
batik-gui-util,6,,,,,,,,
batik-gvt,9,,,,,,,,
batik-i18n,2,,,,,,,,
batik-parser,11,,,,,,,,
batik-script,20,,,,,,,,
batik-slideshow,21,,,,,,,,
batik-svg-dom,16,,,,,,,,
batik-svgbrowser,25,,,,,,,,
batik-svggen,9,,,,,,,,
batik-svgpp,23,,,,,,,,
batik-svgrasterizer,24,,,,,,,,
batik-swing,24,,,,,,,,
batik-test,4,,,,,,,,
batik-test-svg,27,,,,,,,,
batik-test-swing,24,,,,,,,,
batik-transcoder,22,,,,,,,,
batik-ttf2svg,10,,,,,,,,
batik-util,7,,,,,,,,
batik-xml,5,,,,,,,,
