project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
baomidou__lock4j,lock4j-core,net.minidev:json-smart,2.4.8,2.4.7,3,3,test,test,version_managed
baomidou__lock4j,lock4j-core,org.slf4j:slf4j-api,1.7.36,1.7.33,3,3,compile,compile,version_managed
baomidou__lock4j,lock4j-core,net.bytebuddy:byte-buddy,1.12.20,1.12.9,3,3,test,test,version_managed
baomidou__lock4j,lock4j-core,net.bytebuddy:byte-buddy-agent,1.12.20,1.12.9,3,3,test,test,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,org.slf4j:slf4j-api,1.7.36,1.7.32,3,3,compile,compile,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,javax.xml.bind:jaxb-api,2.3.1,2.2.11,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,io.netty:netty-common,4.1.86.Final,4.1.82.Final,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,io.netty:netty-handler,4.1.86.Final,4.1.82.Final,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,io.netty:netty-transport,4.1.86.Final,4.1.82.Final,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redis-template-spring-boot-starter,io.projectreactor:reactor-core,3.4.26,3.3.22.RELEASE,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,org.springframework.boot:spring-boot-starter-actuator,2.7.7,3.0.0,2,2,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,org.springframework.boot:spring-boot-starter-data-redis,2.7.7,3.0.0,2,2,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,javax.xml.bind:jaxb-api,2.3.1,2.2.11,4,4,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,io.projectreactor:reactor-core,3.4.26,3.4.24,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,org.springframework:spring-core,5.3.24,"[4.1,",3,3,compile ; scope not updated to compile),compile ; scope not updated to compile),version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,org.springframework:spring-expression,5.3.24,"[4.1,",3,3,compile ; scope not updated to compile),compile ; scope not updated to compile),version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,com.fasterxml.jackson.core:jackson-annotations,2.13.4,2.14.1,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.13.4,2.14.1,3,3,provided,provided,version_managed
baomidou__lock4j,lock4j-redisson-spring-boot-starter,com.fasterxml.jackson.core:jackson-core,2.13.4,2.14.1,3,3,provided,provided,version_managed
