project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
bastillion-io__Bastillion,bastillion-io__Bastillion,org.slf4j:slf4j-api,2.0.7,1.7.25,2,3,compile,compile,omitted_conflict
bastillion-io__Bastillion,bastillion-io__Bastillion,commons-logging:commons-logging,1.3.0,1.1.1,2,2,compile,compile,omitted_conflict
bastillion-io__Bastillion,bastillion-io__Bastillion,commons-codec:commons-codec,1.17.0,1.16.0,1,3,compile,provided,omitted_conflict
bastillion-io__Bastillion,bastillion-io__Bastillion,org.slf4j:slf4j-api,2.0.7,1.7.36,2,3,compile,provided,omitted_conflict
bastillion-io__Bastillion,bastillion-io__Bastillion,org.slf4j:slf4j-api,2.0.7,1.7.36,2,3,compile,provided,omitted_conflict
bastillion-io__Bastillion,bastillion-io__Bastillion,org.slf4j:slf4j-api,2.0.7,1.7.36,2,3,compile,provided,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
bastillion-io__Bastillion,63,,,,,,,,
