project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
databricks__learning-spark,databricks__learning-spark,org.apache.commons:commons-lang3,3.0,3.3.2,1,2,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.4.4,1,2,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.guava:guava,14.0.1,11.0.2,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-net:commons-net,2.2,3.1,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1.1,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-lang:commons-lang,2.4,2.5,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.8.8,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.8.8,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.avro:avro,1.7.7,1.7.4,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1.1,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1,3,6,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.0.3,3,7,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1.1,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.guava:guava,14.0.1,11.0.2,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-lang:commons-lang,2.4,2.5,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1.1,3,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.8.8,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.8.8,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.8.3,3,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.8.3,2,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.8.3,3,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.8.3,2,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.8.3,3,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.8.3,2,7,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-io:commons-io,2.4,2.1,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.1,2,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.6.1,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,log4j:log4j,1.2.17,1.2.15,2,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.3.1,1,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-compiler,2.10.4,2.10.0,3,5,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.7,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.7,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.4.2,1,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.7,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.7,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-core,2.3.3,2.4.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-annotations,2.3.0,2.4.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.4.4,1,2,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.code.findbugs:jsr305,1.3.9,2.0.1,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.2,2,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.2,2,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.3.0,1,2,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.fasterxml.jackson.core:jackson-databind,2.3.3,2.3.0,1,2,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.5,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.5,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.9.11,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.xerial.snappy:snappy-java,1.1.1.6,1.0.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,log4j:log4j,1.2.17,1.2.16,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.2,2,4,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.5.8,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-lang:commons-lang,2.4,2.5,3,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.httpcomponents:httpcore,4.1.3,4.1.4,4,5,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.1.1,3,5,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,5,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-logging:commons-logging,1.1.3,1.0.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.2,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-httpclient:commons-httpclient,3.1,3.0.1,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.commons:commons-lang3,3.0,3.1,1,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,log4j:log4j,1.2.17,1.2.16,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.avro:avro,1.7.7,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.2,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-mapper-asl,1.9.13,1.9.2,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-collections:commons-collections,3.2.1,3.1,5,5,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-lang:commons-lang,2.4,2.1,3,5,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,log4j:log4j,1.2.17,1.2.16,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.antlr:antlr-runtime,3.4,3.3,3,4,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.13,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,commons-codec:commons-codec,1.3,1.4,3,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.avro:avro,1.7.7,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-log4j12,1.7.10,1.7.5,2,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.13,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.thoughtworks.paranamer:paranamer,2.6,2.3,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.xerial.snappy:snappy-java,1.1.1.6,1.0.5,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.13,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.13,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.codehaus.jackson:jackson-core-asl,1.9.11,1.9.13,3,3,provided,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.6.4,2,3,compile,provided,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.xerial.snappy:snappy-java,1.1.1.6,1.0.5,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.1,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.2,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,log4j:log4j,1.2.17,1.2.14,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,net.sf.opencsv:opencsv,2.0,2.3,1,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scalamacros:quasiquotes_2.10,2.0.1,2.0.0-M8,3,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.2,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-reflect,2.10.4,2.10.2,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scalamacros:quasiquotes_2.10,2.0.1,2.0.0,3,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-library,2.10.4,2.10.2,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scala-lang:scala-reflect,2.10.4,2.10.2,2,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.scalamacros:quasiquotes_2.10,2.0.1,2.0.0,3,4,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.commons:commons-lang3,3.0,3.3.2,1,2,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.commons:commons-lang3,3.0,3.1,1,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.2,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.thrift:libthrift,0.9.0,0.9.1,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.guava:guava,14.0.1,15.0,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,io.netty:netty,3.8.0.Final,3.9.0.Final,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.guava:guava,14.0.1,16.0.1,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.slf4j:slf4j-api,1.7.10,1.7.5,2,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,io.netty:netty,3.8.0.Final,3.9.0.Final,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,com.google.guava:guava,14.0.1,16.0.1,3,3,compile,compile,omitted_conflict
databricks__learning-spark,databricks__learning-spark,org.apache.commons:commons-lang3,3.0,3.3.2,1,2,compile,compile,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-codec:commons-codec,1.3,1.4,3,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-net:commons-net,2.2,1.4.1,2,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-logging:commons-logging,1.1.1,1.1,5,6,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-logging:commons-logging,1.1.1,1.0.3,5,5,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-logging:commons-logging,1.1.1,1.0.3,5,5,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,commons-codec:commons-codec,1.3,1.2,3,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.slf4j:slf4j-api,1.7.5,1.6.4,2,5,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.slf4j:slf4j-api,1.7.5,1.6.1,2,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.slf4j:slf4j-log4j12,1.7.5,1.6.1,2,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,log4j:log4j,1.2.17,1.2.15,2,4,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.3,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.2,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.2,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.2,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.slf4j:slf4j-api,1.7.5,1.7.2,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,provided,provided,omitted_conflict
databricks__learning-spark,mini-complete-example,org.scala-lang:scala-library,2.10.4,2.10.0,2,3,provided,provided,omitted_conflict
