project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
eclipse-vertx__vert.x,vertx-core,io.netty:netty-transport-native-unix-common,4.2.5.Final,4.2.4.Final-SNAPSHOT,2,2,compile,compile,version_managed
eclipse-vertx__vert.x,vertx-core,io.netty:netty-codec-base,4.2.5.Final,4.2.4.Final-SNAPSHOT,2,2,compile,compile,version_managed
eclipse-vertx__vert.x,vertx-core,io.netty:netty-codec-socks,4.2.5.Final,4.2.4.Final-SNAPSHOT,2,2,compile,compile,version_managed
eclipse-vertx__vert.x,vertx-core,io.netty:netty-codec-compression,4.2.5.Final,4.2.4.Final-SNAPSHOT,2,2,compile,compile,version_managed
eclipse-vertx__vert.x,vertx-core,io.netty:netty-codec-dns,4.2.5.Final,4.2.4.Final-SNAPSHOT,2,2,compile,compile,version_managed
eclipse-vertx__vert.x,vertx-core,org.hamcrest:hamcrest-core,2.2,1.3,1,2,test,test,omitted_conflict
eclipse-vertx__vert.x,vertx-core-logging,org.hamcrest:hamcrest-core,2.2,1.3,1,2,test,test,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
vertx-core,93,,,,,,,,
vertx-core-logging,9,,,,,,,,
