project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,jakarta.transaction:jakarta.transaction-api,2.0.1,1.3.3,3,6,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,commons-logging:commons-logging,1.2,1.3.0,5,5,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.apache.commons:commons-lang3,3.14.0,3.13.0,4,6,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,org.slf4j:slf4j-api,1.7.26,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-java,jakarta.activation:jakarta.activation-api,2.1.3,2.1.0,3,4,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,jakarta.xml.bind:jakarta.xml.bind-api,3.0.1,4.0.2,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,jakarta.xml.bind:jakarta.xml.bind-api,3.0.1,4.0.2,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,2.0.13,2,2,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,2.0.13,2,2,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,1.7.36,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,com.fasterxml.woodstox:woodstox-core,7.1.0,6.5.1,3,3,compile,runtime,omitted_conflict
fpompermaier__onvif,onvif-ws-client,commons-codec:commons-codec,1.17.1,1.15,3,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.apache.santuario:xmlsec,3.0.5,2.3.4,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,commons-codec:commons-codec,1.17.1,1.15,3,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,org.slf4j:slf4j-api,2.0.16,2.0.12,2,3,compile,compile,omitted_conflict
fpompermaier__onvif,onvif-ws-client,commons-codec:commons-codec,1.17.1,1.15,3,3,compile,compile,omitted_conflict
