project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
gluonhq__gluon-samples,alarm,com.gluonhq:charm-glisten,6.2.3,6.1.0,1,2,compile,compile,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,alarm,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,com.gluonhq:charm-glisten,6.2.3,6.1.0,1,2,compile,compile,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,beacons,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,com.gluonhq:charm-glisten,6.2.3,6.1.0,1,2,compile,compile,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,cloudlink-cloudfirst-storage,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
gluonhq__gluon-samples,comments,com.gluonhq:charm-glisten,6.2.3,6.1.0,1,2,compile,compile,omitted_conflict
gluonhq__gluon-samples,comments,org.openjfx:javafx-graphics,24-ea+5,20.0.2,2,2,compile,runtime,omitted_conflict
