project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
jenkinsci__warnings-ng-plugin,plugin,io.jenkins.plugins:javax-activation-api,1.2.0-8,1.2.0-7,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,io.jenkins.plugins:snakeyaml-api,2.3-125.v4d77857a_b_402,2.3-123.v13484c65210a_,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:scm-api,704.v3ce5c542825a_,703.v72ff4b_259600,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,io.jenkins.plugins:ionicons-api,88.va_4187cb_eddf1,82.v0597178874e1,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins.workflow:workflow-multibranch,806.vb_b_688f609ee9,800.v5f0a_a_660950e,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:branch-api,2.1226.ve1e7e0b_4b_95f,2.1214.v3f652804588d,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,net.minidev:json-smart,2.5.2,2.5.0,2,3,compile,runtime,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:bouncycastle-api,2.30.1.80-261.v00c0e2618ec3,2.30.1.78.1-248.ve27176eb_46cb_,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.apache.httpcomponents:httpcore,4.4.16,4.4.15,2,3,compile,compile,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.httpcomponents:httpcore-nio,4.4.16,4.4.15,2,3,compile,compile,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.httpcomponents:httpclient,4.5.14,4.5.13,2,3,compile,compile,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.httpcomponents:httpclient-cache,4.5.14,4.5.13,2,3,compile,compile,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:junit,1335.v6b_a_a_e18534e1,1304.vc85a_b_ca_96613,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.ow2.asm:asm,9.7.1,9.8,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:plain-credentials,195.vb_906e9073dee,183.va_de8f1dd5a_2b_,2,2,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:ssh-credentials,359.v2191c4cf635f,349.vb_8b_6b_9709f5b_,2,2,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:variant,70.va_d9f17f859e0,60.v7290fc0eb_b_cd,3,3,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.modules:instance-identity,203.v15e81a_1b_7a_38,201.vd2a_b_5a_468a_a_6,3,3,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.apache.mina:mina-core,2.0.27,2.0.23,3,4,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,commons-beanutils:commons-beanutils,1.9.4,1.11.0,2,2,compile,compile,version_managed
jenkinsci__warnings-ng-plugin,plugin,com.google.code.gson:gson,2.13.1,2.12.1,2,2,compile,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.slf4j:slf4j-api,2.0.16,2.0.17,2,2,provided,provided,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.antlr:antlr4-runtime,4.13.2,4.9.3,2,2,provided,provided,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:ant,513.vde9e7b_a_0da_0f,1.2,2,2,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.assertj:assertj-core,3.27.3,2.9.0,1,2,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.commons:commons-compress,1.26.1,1.24.0,2,2,provided,provided,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.hamcrest:hamcrest-core,3.0,1.3,3,3,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.apache.commons:commons-lang3,3.17.0,3.14.0,2,3,compile,provided,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,com.fasterxml.jackson.core:jackson-annotations,2.18.3,2.10.3,2,3,compile,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.jsoup:jsoup,1.21.1,1.17.2,2,2,compile,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,net.sf.saxon:Saxon-HE,12.8,12.4,2,2,runtime,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,net.sf.saxon:Saxon-HE,12.8,10.3,2,6,runtime,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.jenkins-ci.plugins:run-condition,243.v3c3f94e46a_8b_,0.7,2,2,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,io.jenkins.plugins:oss-symbols-api,336.v0936cdf3d080,318.ve82d80c8e1c4,2,2,test,test,version_managed
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-utils,3.4.1,3.1.0,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-classworlds,2.6.0,2.4.2,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-utils,3.4.1,3.1.0,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-classworlds,2.6.0,2.4.2,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.eclipse.sisu:org.eclipse.sisu.plexus,0.3.5,0.0.0.M5,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-classworlds,2.6.0,2.5.1,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.maven.wagon:wagon-provider-api,3.5.3,2.6,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.eclipse.sisu:org.eclipse.sisu.plexus,0.3.5,0.3.0,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.maven.wagon:wagon-provider-api,3.5.3,2.8,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-classworlds,2.6.0,2.5.2,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.eclipse.sisu:org.eclipse.sisu.plexus,0.3.5,0.3.3,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.maven:maven-repository-metadata,3.8.3,3.5.4,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.apache.maven.wagon:wagon-provider-api,3.5.3,3.3.2,2,3,test,test,omitted_conflict
jenkinsci__warnings-ng-plugin,plugin,org.codehaus.plexus:plexus-utils,3.4.1,3.1.0,2,3,test,test,omitted_conflict
