project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-common,1.8.10,1.9.10,2,3,compile,compile,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jitsi:jitsi-utils,1.0-127-g6c65524,1.0-119-ga7b23ff,1,2,compile,compile,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.5.20,2,3,compile,compile,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-reflect,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-reflect,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.20,2,3,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-reflect,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.10,2,2,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains:annotations,13.0,23.0.0,3,3,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-common,1.8.10,1.8.20,2,3,compile,test,omitted_conflict
jitsi__ice4j,jitsi__ice4j,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.9.10,1.8.20,2,3,compile,test,omitted_conflict
