project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
liquibase__liquibase,liquibase-cli,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cli,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-cli,org.junit.platform:junit-platform-launcher,1.13.4,1.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cli,org.junit.jupiter:junit-jupiter-engine,5.13.4,5.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-cli,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.apache.commons:commons-text,1.14.0,1.13.1,2,3,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.slf4j:slf4j-api,2.0.17,1.7.36,2,5,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,com.fasterxml.jackson.core:jackson-annotations,2.19.2,2.10.3,4,6,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.slf4j:slf4j-api,2.0.17,1.7.30,2,6,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.slf4j:slf4j-api,2.0.17,1.7.25,2,6,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.junit.platform:junit-platform-launcher,1.13.4,1.13.3,3,3,compile,compile,version_managed
liquibase__liquibase,liquibase-extension-testing,org.junit.jupiter:junit-jupiter-engine,5.13.4,5.13.3,3,3,compile,compile,version_managed
liquibase__liquibase,liquibase-extension-testing,org.junit.platform:junit-platform-engine,1.13.4,1.9.0,2,2,compile,compile,version_managed
liquibase__liquibase,liquibase-extension-testing,org.hamcrest:hamcrest,3.0,2.2,1,2,test,compile,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-extension-testing,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.apache.commons:commons-text,1.14.0,1.13.1,2,3,compile,compile,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-component-annotations,2.2.0,2.1.0,2,3,provided,provided,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-classworlds,2.9.0,2.6.0,2,3,provided,provided,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,3.5.1,2,3,provided,provided,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,3.4.1,2,4,provided,provided,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,3.3.1,2,3,provided,provided,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,commons-io:commons-io,2.20.0,2.2,2,2,compile,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,3.0.7,2,3,provided,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,junit:junit,4.13.2,3.8.1,2,4,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,1.0.4,2,4,provided,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.codehaus.plexus:plexus-utils,3.6.0,3.0,2,4,provided,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.apache.maven.shared:maven-shared-utils,3.4.2,3.3.4,2,2,provided,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.hamcrest:hamcrest-core,2.2,1.3,2,3,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-maven-plugin,org.junit.platform:junit-platform-launcher,1.13.4,1.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-maven-plugin,org.junit.jupiter:junit-jupiter-engine,5.13.4,5.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-maven-plugin,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-snowflake,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-snowflake,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-snowflake,org.junit.platform:junit-platform-launcher,1.13.4,1.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-snowflake,org.junit.jupiter:junit-jupiter-engine,5.13.4,5.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-snowflake,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-standard,net.bytebuddy:byte-buddy,1.15.11,1.14.10,2,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-standard,org.objenesis:objenesis,3.4,3.3,1,2,test,test,omitted_conflict
liquibase__liquibase,liquibase-standard,org.junit.platform:junit-platform-launcher,1.13.4,1.13.3,3,3,test,test,version_managed
liquibase__liquibase,liquibase-standard,org.hamcrest:hamcrest,3.0,2.2,1,2,test,test,omitted_conflict
,,,,,,,,,
,,,,,,,,,
SUBMODULE SUMMARY,Total Unique Dependencies,,,,,,,,
liquibase-cli,87,,,,,,,,
liquibase-extension-testing,114,,,,,,,,
