project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
openmrs__openmrs-core,api,org.springframework:spring-test,6.2.9,6.2.11,2,2,test,test,version_managed
openmrs__openmrs-core,api,org.mockito:mockito-core,5.6.0,5.20.0,2,2,test,test,version_managed
openmrs__openmrs-core,api,org.mockito:mockito-junit-jupiter,3.12.4,5.20.0,2,2,test,test,version_managed
openmrs__openmrs-core,api,com.adobe.testing:s3mock-testcontainers,4.7.0,4.9.1,2,2,test,test,version_managed
openmrs__openmrs-core,api,org.yaml:snakeyaml,2.4,2.2,3,3,provided,test,omitted_conflict
openmrs__openmrs-core,api,org.junit.platform:junit-platform-engine,1.11.4,1.10.1,3,4,test,test,omitted_conflict
openmrs__openmrs-core,api,org.junit.platform:junit-platform-commons,1.11.4,1.10.1,3,5,test,test,omitted_conflict
openmrs__openmrs-core,api,org.junit.platform:junit-platform-engine,1.11.4,1.10.1,3,4,test,test,omitted_conflict
openmrs__openmrs-core,api,org.junit.platform:junit-platform-engine,1.11.4,1.10.1,3,4,test,test,omitted_conflict
openmrs__openmrs-core,api,net.bytebuddy:byte-buddy-agent,1.17.6,1.14.8,3,3,test,test,version_managed
openmrs__openmrs-core,api,org.apache.commons:commons-compress,1.24.0,1.27.1,3,3,test,test,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.6.1.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.6.1.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.6.1.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,net.bytebuddy:byte-buddy,1.17.6,1.15.11,0,0,runtime,runtime,version_managed
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.6.1.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.hibernate.common:hibernate-commons-annotations,7.0.3.Final,6.0.6.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,io.smallrye:jandex,3.2.0,3.1.2,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.hibernate.common:hibernate-commons-annotations,7.0.3.Final,6.0.6.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,io.smallrye:jandex,3.2.0,3.1.2,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.5.3.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,commons-codec:commons-codec,1.13,1.15,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,commons-logging:commons-logging,1.3.5,1.2,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,commons-codec:commons-codec,1.13,1.15,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,commons-logging:commons-logging,1.3.5,1.2,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.apache.lucene:lucene-core,9.9.2,9.0.0,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.apache.lucene:lucene-analysis-common,9.9.2,9.0.0,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.apache.commons:commons-text,1.13.1,1.13.0,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.apache.commons:commons-collections4,4.5.0,4.4,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.jboss.logging:jboss-logging,3.5.0.Final,3.6.1.Final,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,com.fasterxml:classmate,1.5.1,1.7.0,3,0,provided,compile,omitted_conflict
openmrs__openmrs-core,api,org.apache.httpcomponents:httpcore,4.4.13,4.4.16,4,0,provided,runtime,omitted_conflict
openmrs__openmrs-core,api,commons-codec:commons-codec,1.13,1.17.1,3,0,provided,runtime,omitted_conflict
openmrs__openmrs-core,liquibase,net.bytebuddy:byte-buddy,1.17.6,1.14.8,2,2,test,test,version_managed
openmrs__openmrs-core,liquibase,net.bytebuddy:byte-buddy-agent,1.17.6,1.14.8,2,2,test,test,version_managed
openmrs__openmrs-core,api,org.apache.commons:commons-lang3,3.18.0,3.19.0,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-core,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-beans,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-context,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-aop,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-orm,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-tx,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-jdbc,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.springframework:spring-context-support,6.2.9,6.2.11,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.apache.lucene:lucene-analysis-phonetic,9.0.0,10.3.0,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.apache.logging.log4j:log4j-core,2.22.1,2.25.2,2,2,provided,provided,version_managed
openmrs__openmrs-core,api,org.apache.logging.log4j:log4j-slf4j-impl,2.22.1,2.25.2,2,2,provided,provided,version_managed
