project,submodule,library_name,version_selected,conflicting_version,depth_selected,depth_conflicting,scope_selected,scope_conflicting,conflict_type
spring-cloud__spring-cloud-gateway,grpc,io.netty:netty-codec-http2,4.2.6.Final,4.1.110.Final,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,grpc,io.netty:netty-handler-proxy,4.2.6.Final,4.1.110.Final,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,grpc,io.netty:netty-transport-native-unix-common,4.2.6.Final,4.1.110.Final,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,grpc,com.google.code.gson:gson,2.13.2,2.11.0,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,grpc,com.google.errorprone:error_prone_annotations,2.30.0,2.41.0,2,4,compile,compile,omitted_conflict
spring-cloud__spring-cloud-gateway,grpc,com.google.errorprone:error_prone_annotations,2.30.0,2.28.0,2,3,compile,compile,omitted_conflict
spring-cloud__spring-cloud-gateway,grpc,org.apache.httpcomponents.core5:httpcore5,5.3.5,5.3.4,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,grpc,org.apache.httpcomponents.core5:httpcore5-h2,5.3.5,5.3.4,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,grpc,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,grpc,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,grpc,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,grpc,org.ow2.asm:asm,9.7.1,9.8,4,4,compile,runtime,omitted_conflict
spring-cloud__spring-cloud-gateway,grpc,org.ow2.asm:asm,9.7.1,9.8,4,5,compile,compile,omitted_conflict
spring-cloud__spring-cloud-gateway,grpc,commons-codec:commons-codec,1.19.0,1.18.0,3,3,runtime,runtime,version_managed
spring-cloud__spring-cloud-gateway,grpc,net.bytebuddy:byte-buddy,1.17.7,1.15.11,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,http2,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,http2,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,http2,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,http2,org.ow2.asm:asm,9.7.1,9.8,4,4,compile,runtime,omitted_conflict
spring-cloud__spring-cloud-gateway,http2,org.ow2.asm:asm,9.7.1,9.8,4,5,compile,compile,omitted_conflict
spring-cloud__spring-cloud-gateway,http2,com.google.code.gson:gson,2.13.2,2.13.1,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,http2,commons-codec:commons-codec,1.19.0,1.18.0,3,3,runtime,runtime,version_managed
spring-cloud__spring-cloud-gateway,http2,net.bytebuddy:byte-buddy,1.17.7,1.15.11,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,httpclient,org.apache.httpcomponents.core5:httpcore5,5.3.5,5.3.4,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,httpclient,org.apache.httpcomponents.core5:httpcore5-h2,5.3.5,5.3.4,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,httpclient,org.slf4j:slf4j-api,2.0.17,1.7.36,2,2,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,httpclient,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,httpclient,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,httpclient,net.bytebuddy:byte-buddy,1.17.7,1.15.11,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,mvc-failure-analyzer,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,mvc-failure-analyzer,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,mvc-failure-analyzer,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,mvc-failure-analyzer,net.bytebuddy:byte-buddy,1.17.7,1.15.11,2,2,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webflux,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webflux,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webflux,net.bytebuddy:byte-buddy,1.17.7,1.15.11,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webflux,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webmvc,org.slf4j:slf4j-api,2.0.17,2.0.11,3,3,compile,compile,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webmvc,jakarta.activation:jakarta.activation-api,2.1.4,2.1.3,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webmvc,net.bytebuddy:byte-buddy,1.17.7,1.15.11,3,3,test,test,version_managed
spring-cloud__spring-cloud-gateway,spring-cloud-gateway-proxyexchange-webmvc,net.bytebuddy:byte-buddy-agent,1.17.7,1.17.6,3,3,test,test,version_managed
