Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,contains,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,100
,NameExpr,com.jiron.common.datascope.aspect.DataScopeAspect,DATA_SCOPE,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,158
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,76
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,32
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.StringBuilder,toString,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,152
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,94
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,111
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\annotation\DataScope.java,22
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\642933588__jiron-cloud\jiron-common\jiron-common-datascope\src\main\java\com\jiron\common\datascope\aspect\DataScopeAspect.java,168
