Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.InterruptedException,InterruptedException,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandContexts.java,79
CLIENT:client-code:N/A:N/A,FieldAccessExpr,co.aikar.commands.SpongeCommandManager,contexts,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,88
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,isEmpty,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,112
CLIENT:client-code:N/A:N/A,NameExpr,co.aikar.commands.SpongeCommandManager,plugin,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,124
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeRegisteredCommand,SpongeRegisteredCommand,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,166
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeConditionContext,SpongeConditionContext,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,204
CLIENT:client-code:N/A:N/A,MethodCallExpr,co.aikar.commands.SpongeCommandManager,getLocales,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,62
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeCommandIssuer,SpongeCommandIssuer,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,148
CLIENT:client-code:N/A:N/A,FieldAccessExpr,co.aikar.commands.SpongeRootCommand,isRegistered,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,122
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeCommandIssuer,SpongeCommandIssuer,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandContexts.java,157
CLIENT:client-code:N/A:N/A,MethodCallExpr,co.aikar.commands.SpongeRootCommand,getChildren,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeRootCommand.java,124
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeMessageFormatter,SpongeMessageFormatter,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,64
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeCommandIssuer,SpongeCommandIssuer,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandExecutionContext.java,31
CLIENT:client-code:N/A:N/A,MethodCallExpr,co.aikar.commands.SpongeCommandIssuer,isPlayer,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandIssuer.java,71
CLIENT:client-code:N/A:N/A,FieldAccessExpr,co.aikar.commands.SpongeRootCommand,subCommands,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeRootCommand.java,76
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeCommandSource,SpongeCommandSource,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,219
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.UnsupportedOperationException,UnsupportedOperationException,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,220
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandSource.java,37
CLIENT:client-code:N/A:N/A,NameExpr,co.aikar.commands.SpongeCommandIssuer,source,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandIssuer.java,100
CLIENT:client-code:N/A:N/A,FieldAccessExpr,co.aikar.commands.SpongeCommandManager,contexts,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,87
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\ACFSpongeUtil.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\ACFSpongeUtil.java,19
CLIENT:client-code:N/A:N/A,NameExpr,co.aikar.commands.SpongeCommandIssuer,source,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandIssuer.java,67
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,co.aikar.commands.SpongeMessageFormatter,SpongeMessageFormatter,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandManager.java,48
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Objects,equals,C:\Users\tyin363\Documents\repos\aikar__commands\sponge10\src\main\java\co\aikar\commands\SpongeCommandIssuer.java,100
