Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.bpmn.Monitoring,Monitoring,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\Process.java,32
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,split,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\extension\PluginManager.java,145
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.generator.code.CodeTargetSupport,addBodyLine,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\EventTriggerMethodGenerator.java,59
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLStreamReaderSource,xmlStreamReader,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\model\XMLStreamReaderSource.java,63
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.bpmn.Expression,Expression,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\ConditionExpressionParser.java,33
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.stream.Stream,findFirst,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\tbbpm\TbbpmModel.java,124
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.common.AbstractFlowModel,setCode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\BpmnStreamParser.java,84
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.definition.bpmn.FlowNode,outgoingFlows,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\FlowNode.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\compiler\impl\support\EcJavaCompiler.java,226
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.common.Element,Element,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\AbstractTbbpmElementParser.java,43
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLSource,getString,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\BreakParser.java,34
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.common.action.IInAction,IInAction,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\WaitTaskParser.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\AbstractProcessCodeGenerator.java,202
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,com.alibaba.compileflow.engine.process.builder.generator.provider.impl.BpmnNodeGeneratorProvider,BpmnNodeGeneratorProvider,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\BpmnProcessCodeGenerator.java,33
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,199
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,731
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\bpmn\MultiInstanceLoopCharacteristicsGenerator.java,75
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.process.builder.generator.code.FieldTarget,modifiers,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\code\FieldTarget.java,76
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\bean\SpringBeanHolder.java,45
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.common.action.IAction,getType,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\factory\GeneratorFactory.java,45
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\AbstractFlowStreamParser.java,82
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.bpmn.Expression,Expression,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\ConditionExpressionParser.java,32
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.ParseContext,ParseContext,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\WaitTaskParser.java,36
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.tbbpm.LoopProcessNode,LoopProcessNode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\writer\support\tbbpm\LoopProcessWriter.java,38
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.common.extension.ExtensionElement,ExtensionElement,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\ExtensionElements.java,33
JDK:java.base:N/A:N/A,MethodCallExpr,java.sql.PreparedStatement,setString,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,714
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.runtime.impl.AbstractProcessRuntime,getOrCompile,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\AbstractProcessRuntime.java,115
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\AbstractFlowElementParser.java,41
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\TbbpmProcessCodeGenerator.java,21
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,containsKey,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\MultiMap.java,41
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.converter.impl.writer.support.tbbpm.AbstractActionHandleWriter,AbstractActionHandleWriter,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\writer\support\tbbpm\JavaActionHandleWriter.java,27
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,730
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\ScriptActionHandleParser.java,48
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.support.AbstractTbbpmElementParser,AbstractTbbpmElementParser,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\SubBpmParser.java,31
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.validator.factory.ModelValidatorFactory,getFlowModelValidator,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\AbstractProcessRuntime.java,201
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.generator.code.CodeTargetSupport,addBodyLine,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\EventTriggerMethodGenerator.java,57
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.common.AbstractFlowModel,setCode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\BpmnStreamParser.java,82
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.common.action.IAction,getType,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\factory\GeneratorFactory.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\extension\ExtensionManager.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\model\XMLStreamReaderSource.java,130
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\tbbpm\LoopProcessNode.java,115
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.generator.impl.tbbpm.WaitEventTaskGenerator,WaitEventTaskGenerator,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\TbbpmProcessCodeGenerator.java,64
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.runtime.impl.AbstractProcessRuntime,AbstractProcessRuntime,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\tbbpm\StartGenerator.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,733
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.alibaba.compileflow.engine.definition.bpmn.DataInputAssociation,sourceRef,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\DataInputAssociation.java,28
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.common.var.IVar,IVar,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\AbstractProcessCodeGenerator.java,290
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.ParseContext,ParseContext,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\SequenceFlowParser.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,equals,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,1334
org.springframework:spring-context:jar:3.2.18.RELEASE,ClassOrInterfaceType,org.springframework.context.ApplicationContext,ApplicationContext,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\bean\SpringApplicationContextProvider.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,770
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.generator.factory.GeneratorFactory,GeneratorFactory,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\factory\GeneratorFactory.java,33
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.common.var.IVar,IVar,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\common\action\impl\ActionHandle.java,34
org.eclipse.jdt.core.compiler:ecj:jar:4.6.1,MethodCallExpr,org.eclipse.jdt.internal.compiler.CompilationResult,getProblems,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\compiler\impl\support\EcJavaCompiler.java,186
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\AbstractFlowElementParser.java,43
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.alibaba.compileflow.engine.runtime.graph.AnalysisContext,allNodes,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\graph\AnalysisContext.java,22
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLStreamReaderSource,getInt,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\model\XMLStreamReaderSource.java,131
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.writer.provider.support.TbbpmFlowElementWriterProvider,getInstance,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\writer\support\tbbpm\TbbpmStreamWriter.java,50
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,computeIfAbsent,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\script\impl\MvelExecutor.java,34
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.definition.bpmn.BoundaryEvent,attachedToRef,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\BoundaryEvent.java,33
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.common.action.IAction,getType,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\factory\GeneratorFactory.java,42
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.support.AbstractBpmnElementParser,AbstractBpmnElementParser,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\MultiInstanceLoopCharacteristicsParser.java,29
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.runtime.impl.AbstractProcessRuntime,getOrCompile,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\impl\AbstractProcessRuntime.java,110
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.tbbpm.NoteNode,NoteNode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\NoteParser.java,34
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.ProcessEngine,ProcessEngine,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\ProcessEngineFactory.java,52
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,hashCode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\action\support\GroovyActionGenerator.java,37
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLSource,getString,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\BreakParser.java,38
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.process.builder.generator.code.FieldTarget,modifiers,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\code\FieldTarget.java,80
CLIENT:client-code:N/A:N/A,NameExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLStreamReaderSource,xmlStreamReader,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\model\XMLStreamReaderSource.java,58
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.bpmn.Gateway,Gateway,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\ParallelGateway.java,19
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.support.bpmn.UserTaskParser,UserTaskParser,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\provider\support\BpmnElementParserProvider.java,46
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.bpmn.BaseElement,getId,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\BpmnStreamParser.java,74
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,com.alibaba.compileflow.engine.process.impl.AbstractProcessEngine.CompileFlowThreadFactory,CompileFlowThreadFactory,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\impl\AbstractProcessEngine.java,56
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.ProcessEngine,ProcessEngine,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\ProcessEngineFactory.java,51
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.alibaba.compileflow.engine.definition.tbbpm.NoteNode,NoteNode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\NoteParser.java,33
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\ChoreographyTask.java,23
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\bpmn\SignalParser.java,46
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,chars,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\tbbpm\SubBpmGenerator.java,71
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,equals,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,1340
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.extension.spec.BaseSpec,getCode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\extension\ExtensionManager.java,164
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.runtime.graph.AnalysisContext,getStartNode,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\runtime\graph\DominatorTreeCalculator.java,107
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.converter.impl.parser.model.XMLSource,getString,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\converter\impl\parser\support\tbbpm\BreakParser.java,37
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.File,File,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\compiler\impl\CompilerImpl.java,51
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.bpmn.MultiInstanceLoopCharacteristics,getTestBefore,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\bpmn\MultiInstanceLoopCharacteristicsGenerator.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\bpmn\ResourceRole.java,26
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.process.builder.generator.code.CodeTargetSupport,addBodyLine,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\EventTriggerMethodGenerator.java,65
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Collection,stream,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\definition\tbbpm\BpmNode.java,153
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equalsIgnoreCase,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\common\util\DataType.java,334
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\impl\AbstractProcessEngine.java,275
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.alibaba.compileflow.engine.definition.tbbpm.FlowNode,getOutgoingTransitions,C:\Users\tyin363\Documents\repos\alibaba__compileflow\src\main\java\com\alibaba\compileflow\engine\process\builder\generator\impl\tbbpm\DecisionGenerator.java,91
