Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
201206030__novel-cloud_novel-book-api,186,0,0.13440860215053763,0.0,186,0.0
201206030__novel-cloud_novel-common,791,15,0.3173198482932996,0.0,326,1.8963337547408345
201206030__novel-cloud_novel-config,4891,2,0.2065017378859129,0.0,4810,0.04089143324473523
201206030__novel-cloud_novel-gateway,1230,0,0.15853658536585366,0.0,1230,0.0
201206030__novel-cloud_novel-monitor,1337,0,0.14510097232610322,0.0,1337,0.0
201206030__novel-cloud_novel-search,3585,2,0.10683403068340307,0.0,123,0.05578800557880056
201206030__novel-cloud_novel-user-api,186,0,0.13440860215053763,0.0,186,0.0
642933588__jiron-cloud_jiron-auth,8464,0,0.05056710775047259,0.0,8301,0.0
642933588__jiron-cloud_jiron-common-core,3391,16,0.05838985549985255,0.0,1268,0.4718372161604247
642933588__jiron-cloud_jiron-common-datasource,124,0,0.0,0.0,123,0.0
642933588__jiron-cloud_jiron-common-translation,744,2,0.1935483870967742,0.0,460,0.2688172043010753
642933588__jiron-cloud_jiron-file,10408,0,0.06398923904688701,0.0,10232,0.0
642933588__jiron-cloud_jiron-gateway,11101,0,0.05170705341861093,0.0,10938,0.0
642933588__jiron-cloud_jiron-gen,8635,0,0.051187029530978576,0.0,8313,0.0
642933588__jiron-cloud_jiron-job,8464,0,0.05056710775047259,0.0,8301,0.0
642933588__jiron-cloud_jiron-monitor,8464,0,0.05056710775047259,0.0,8301,0.0
642933588__jiron-cloud_jiron-system,8464,0,0.05056710775047259,0.0,8301,0.0
86dbs__dbsyncer_dbsyncer-common,1093,0,0.11802378774016468,0.0,13,0.0
86dbs__dbsyncer_dbsyncer-connector-elasticsearch,6922,160,0.0361167292689974,0.0,5113,2.3114706732158337
86dbs__dbsyncer_dbsyncer-connector-kafka,614,2,0.08143322475570032,0.0,21,0.32573289902280134
86dbs__dbsyncer_dbsyncer-parser,46,0,0.0,0.0,0,0.0
86dbs__dbsyncer_dbsyncer-plugin,13,0,0.38461538461538464,0.0,13,0.0
86dbs__dbsyncer_dbsyncer-storage,150,1,0.8666666666666667,0.0,21,0.6666666666666667
86dbs__dbsyncer_dbsyncer-web,389,0,0.781491002570694,0.0,389,0.0
94fzb__zrlog_package-web,14,0,0.0,0.0,7,0.0
94fzb__zrlog_web,15,0,0.0,0.0,7,0.0
Alovoa__alovoa_Alovoa__alovoa,3326,18,0.05141310883944678,0.0,1327,0.5411906193625977
Amazingwujun__mqttx_Amazingwujun__mqttx,894,22,0.18120805369127516,0.0,776,2.460850111856823
Athou__commafeed_commafeed-server,2044,0,0.013209393346379647,0.0,1961,0.0
BaseXdb__basex_basex-api,979,0,0.05005107252298264,0.0,914,0.0
BaseXdb__basex_basex-tests,665,0,0.05263157894736842,0.0,600,0.0
BroadleafCommerce__BroadleafCommerce_broadleaf-admin-module,2,0,0.5,0.0,0,0.0
BroadleafCommerce__BroadleafCommerce_broadleaf-profile-web,26,2,0.038461538461538464,0.0,24,7.6923076923076925
BroadleafCommerce__BroadleafCommerce_integration,701,0,0.12981455064194009,0.0,194,0.0
Cosium__git-code-format-maven-plugin_core,1282,0,0.057722308892355696,0.0,1126,0.0
Cosium__spring-data-jpa-entity-graph_core,2200,1,0.05545454545454546,0.0,146,0.045454545454545456
Cosium__spring-data-jpa-entity-graph_generator,122,0,1.0,0.0,0,0.0
CyrilFeng__karma_CyrilFeng__karma,2766,12,0.06941431670281996,0.0,2017,0.43383947939262474
DSpace__DSpace_dspace-oai,2,0,1.0,0.0,0,0.0
DerekYRC__mini-spring_DerekYRC__mini-spring,345,0,0.06666666666666667,0.0,294,0.0
DozerMapper__dozer_dozer-spring-boot-autoconfigure,54,0,0.09259259259259259,0.0,54,0.0
DozerMapper__dozer_dozer-spring4,54,0,0.09259259259259259,0.0,54,0.0
FasterXML__jackson-dataformats-binary_avro,219,11,0.3470319634703196,0.0,203,5.0228310502283104
FasterXML__jackson-datatype-hibernate_hibernate4,293,0,0.18430034129692832,0.0,52,0.0
FasterXML__jackson-datatype-hibernate_hibernate5,61,0,0.03278688524590164,0.0,18,0.0
FasterXML__jackson-datatype-hibernate_hibernate5-jakarta,46,0,0.0,0.0,3,0.0
