Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,MethodCallExpr,org.apache.helix.view.common.ClusterViewEvent,getEventProcessBackoff,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,245
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_dataProviderMap,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,300
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.helix.view.aggregator.HelixViewAggregatorMain,HelixViewAggregatorMain,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModel.java,96
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,logger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,197
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,valueOf,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,98
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,151
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,logger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,395
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.helix.view.aggregator.ViewClusterRefresher,ViewClusterRefresher,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,69
,NameExpr,org.apache.helix.view.dataprovider.SourceClusterDataProvider,_helixManager,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\dataprovider\SourceClusterDataProvider.java,87
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Set,removeAll,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,220
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.SourceClusterConfigChangeAction,_newConfig,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\SourceClusterConfigChangeAction.java,86
,ClassOrInterfaceType,org.apache.helix.view.statemodel.DistViewAggregatorStateModel,DistViewAggregatorStateModel,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModelFactory.java,34
commons-cli:commons-cli:jar:1.2,MethodCallExpr,org.apache.commons.cli.Option,setArgName,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,58
commons-cli:commons-cli:jar:1.2,MethodCallExpr,org.apache.commons.cli.Option,setRequired,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,57
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_aggregator,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,110
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,78
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewConfigProcessor,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,111
,MethodCallExpr,org.apache.helix.view.statemodel.DistViewAggregatorStateModel,reset,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModel.java,62
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,168
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterManager,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,117
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,27
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,valueOf,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,99
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.ViewClusterRefresher,_viewClusterDataAccessor,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,358
,NameExpr,org.apache.helix.view.dataprovider.SourceClusterDataProvider,LOG,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\dataprovider\SourceClusterDataProvider.java,129
org.slf4j:slf4j-api:jar:1.7.32,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\dataprovider\SourceClusterDataProvider.java,53
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterName,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,215
,NameExpr,org.apache.helix.view.dataprovider.SourceClusterDataProvider,_propertyKeyBuilder,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\dataprovider\SourceClusterDataProvider.java,148
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterName,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,149
,ClassOrInterfaceType,org.apache.helix.view.statemodel.DistViewAggregatorStateModel,DistViewAggregatorStateModel,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModelFactory.java,33
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,125
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.helix.view.aggregator.HelixViewAggregator.RefreshViewClusterTask,RefreshViewClusterTask,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,284
,ClassOrInterfaceType,org.apache.helix.view.dataprovider.SourceClusterDataProvider,SourceClusterDataProvider,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,358
,ClassOrInterfaceType,org.apache.helix.view.common.ClusterViewEvent,ClusterViewEvent,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,176
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,269
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_dataProviderMap,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,302
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,logger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,199
commons-cli:commons-cli:jar:1.2,MethodCallExpr,org.apache.commons.cli.OptionBuilder,create,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,61
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\dataprovider\SourceClusterDataProvider.java,115
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterRefresher,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,206
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,containsKey,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,320
,ClassOrInterfaceType,org.apache.helix.view.common.ClusterViewEvent.Type,Type,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\common\ClusterViewEvent.java,45
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.ConcurrentHashMap,ConcurrentHashMap,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,74
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.SourceClusterConfigChangeAction,_shouldResetTimer,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\SourceClusterConfigChangeAction.java,48
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.ViewClusterRefresher,logger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,391
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.helix.view.aggregator.HelixViewAggregatorMain,constructCommandLineOptions,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,82
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,91
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.ViewClusterRefresher,_dataProviderView,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,105
,NameExpr,org.apache.helix.view.monitoring.ViewAggregatorMonitor,_processViewConfigFailureCounter,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,43
org.slf4j:slf4j-api:jar:1.7.32,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModel.java,34
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\statemodel\DistViewAggregatorStateModel.java,37
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.ViewClusterRefresher,_viewClusterDataCache,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,328
,NameExpr,org.apache.helix.view.monitoring.ViewAggregatorMonitor,MONITOR_KEY,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,34
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\SourceClusterConfigChangeAction.java,78
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.SourceClusterConfigChangeAction,_toAdd,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\SourceClusterConfigChangeAction.java,97
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,270
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterManager,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,115
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\monitoring\ViewAggregatorMonitor.java,25
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,logger,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,165
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.helix.view.aggregator.HelixViewAggregator,_viewClusterName,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,80
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,exit,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregatorMain.java,90
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.TreeMap,TreeMap,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\ViewClusterRefresher.java,196
org.slf4j:slf4j-api:jar:1.7.32,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator\src\main\java\org\apache\helix\view\aggregator\HelixViewAggregator.java,246
