Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.jackrabbit.core.stats.StatManager,StatManager,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\RepositoryContext.java,454
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\value\InternalValue.java,611
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.jackrabbit.core.state.NodeState,NodeState,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\version\InternalXAVersionManager.java,124
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Random,nextLong,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\id\NodeId.java,170
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.UnsupportedOperationException,UnsupportedOperationException,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\SystemSession.java,323
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\cluster\ChangeLogRecord.java,106
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,nanoTime,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\session\SessionState.java,218
org.apache.lucene:lucene-core:jar:3.6.2,ClassOrInterfaceType,org.apache.lucene.search.Query,Query,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\query\lucene\MatchAllWeight.java,42
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.jackrabbit.core.version.VersionSet,versions,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\version\VersionManagerImplMerge.java,492
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\apache__jackrabbit\jackrabbit-core\src\main\java\org\apache\jackrabbit\core\security\user\XPathQueryBuilder.java,346
