Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.InputStream,read,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\compression\DeflatingInputStream.java,123
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\server\session\proxyprotocolv2\ProxyProtocolV2Acceptor.java,107
,NameExpr,org.apache.sshd.contrib.client.auth.password.InteractivePasswordIdentityProvider,nextPassword,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\client\auth\password\InteractivePasswordIdentityProvider.java,104
JDK:java.base:N/A:N/A,MethodCallExpr,java.security.MessageDigest,reset,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\signature\LegacyDSASigner.java,85
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.concurrent.atomic.AtomicInteger,AtomicInteger,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\channel\throttle\ThrottlingChannelStreamWriter.java,90
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.math.BigInteger,BigInteger,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\signature\LegacyDSASigner.java,153
,MethodCallExpr,org.apache.sshd.contrib.common.signature.LegacyDSASigner,generateV,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\signature\LegacyDSASigner.java,254
,FieldAccessExpr,org.apache.sshd.contrib.client.auth.password.InteractivePasswordIdentityProvider,userInteraction,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\client\auth\password\InteractivePasswordIdentityProvider.java,80
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.InterruptedIOException,InterruptedIOException,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\common\channel\throttle\ThrottlingChannelStreamWriter.java,130
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__mina-sshd\sshd-contrib\src\main\java\org\apache\sshd\contrib\server\session\proxyprotocol\ProxyProtocolAcceptor.java,116
