Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.InterruptedException,InterruptedException,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\AutoCloseableLock.java,50
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.util.UncheckedAutoCloseable,UncheckedAutoCloseable,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\function\UncheckedAutoCloseableSupplier.java,29
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.util.PureJavaCrc32C,T,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\PureJavaCrc32C.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationStatus.java,99
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.ratis.conf.RaftProperties,entrySet,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationBase.java,59
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.conf.ReconfigurationBase,properties,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationBase.java,125
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.util.AutoCloseableLock,underlying,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\AutoCloseableLock.java,74
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.ratis.util.ProtoUtils,toRaftGroupMemberIdProtoBuilder,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\exceptions\LeaderNotReadyException.java,35
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.protocol.GroupManagementRequest.Remove,deleteDirectory,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\GroupManagementRequest.java,73
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.UUID,UUID,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftGroupId.java,38
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.apache.ratis.util.TraditionalBinaryPrefix,value,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\TraditionalBinaryPrefix.java,41
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.apache.ratis.protocol.GroupListReply,groupIds,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\GroupListReply.java,37
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.protocol.RaftGroupId,RaftGroupId,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftGroupId.java,33
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.util.DataBlockingQueue,notFull,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\DataBlockingQueue.java,105
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationException.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.protocol.RaftGroupId,RaftGroupId,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\LeaderElectionManagementRequest.java,47
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.protocol.exceptions.RaftException,RaftException,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\exceptions\ServerNotReadyException.java,23
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.locks.Condition,signal,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\DataBlockingQueue.java,160
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.proto.RaftProtos.RaftGroupMemberIdProto,RaftGroupMemberIdProto,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\exceptions\LeaderNotReadyException.java,31
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.apache.ratis.protocol.RaftClientRequest.Builder,slidingWindowEntry,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftClientRequest.java,429
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftGroupMemberId.java,34
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.util.TimeDuration,TimeDuration,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\function\CheckedFunctionWithTimeout.java,31
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.proto.RaftProtos.MessageStreamRequestTypeProto,MessageStreamRequestTypeProto,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftClientRequest.java,262
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.apache.ratis.util.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\Timestamp.java,36
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.protocol.RaftGroupId,RaftGroupId,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\GroupManagementRequest.java,56
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.apache.ratis.io.MD5Hash,MD5Hash,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\io\MD5Hash.java,69
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\io\MD5Hash.java,190
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.ratis.protocol.RaftId.Factory,valueOf,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\ClientId.java,54
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.util.PureJavaCrc32C,T,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\PureJavaCrc32C.java,80
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Iterable,Iterable,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\RaftClientRequest.java,391
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.ratis.util.Preconditions,assertUnique,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\SetConfigurationRequest.java,62
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.apache.ratis.protocol.DataStreamReplyHeader,bytesWritten,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\DataStreamReplyHeader.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\protocol\exceptions\StateMachineException.java,56
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.apache.ratis.conf.ReconfigurationBase,name,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationBase.java,118
CLIENT:client-code:N/A:N/A,NameExpr,org.apache.ratis.util.SizeInBytes,size,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\SizeInBytes.java,71
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.apache.ratis.conf.Reconfigurable,isPropertyReconfigurable,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationBase.java,169
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.FilterOutputStream,close,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\AtomicFileOutputStream.java,81
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.util.AwaitToRun,AwaitToRun,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\AwaitToRun.java,77
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.apache.ratis.conf.ReconfigurationStatus,ReconfigurationStatus,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\conf\ReconfigurationBase.java,98
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.apache.ratis.util.SizeInBytes,SizeInBytes,C:\Users\tyin363\Documents\repos\apache__ratis\ratis-common\src\main\java\org\apache\ratis\util\SizeInBytes.java,57
