Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.time.LocalDate,LocalDate,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,42
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.UUID,UUID,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,67
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.samples.dynamodb.App.TableInitializer,TableInitializer,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,47
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.samples.dynamodb.Department,Department,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,90
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.samples.dynamodb.App.TableInitializer,dynamoDbEnhancedClient,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,95
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.awspring.cloud.samples.dynamodb.Department.Builder,employeeNumber,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,95
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.awspring.cloud.samples.dynamodb.Department.Builder,withDepartmentId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,56
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.awspring.cloud.samples.dynamodb.Department,departmentId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.UUID,UUID,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,42
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.awspring.cloud.samples.dynamodb.Department.Builder,departmentId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,85
org.slf4j:slf4j-api:jar:2.0.11,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,94
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.UUID,randomUUID,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.UUID,UUID,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\App.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-samples\spring-cloud-aws-dynamodb-sample\src\main\java\io\awspring\cloud\samples\dynamodb\Department.java,94
