Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,118
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,context,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,147
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,secretId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,76
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,PREFIX_PART,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,158
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,68
software.amazon.awssdk:secretsmanager:jar:2.31.54,MethodCallExpr,software.amazon.awssdk.services.secretsmanager.model.GetSecretValueResponse,name,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,117
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,jsonMapper,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,105
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,LOG,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,110
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,prefix,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,143
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,142
org.springframework:spring-jcl:jar:6.2.7,MethodCallExpr,org.apache.commons.logging.Log,debug,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,119
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,109
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,properties,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,98
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,indexOf,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,156
software.amazon.awssdk:secretsmanager:jar:2.31.54,ClassOrInterfaceType,software.amazon.awssdk.services.secretsmanager.SecretsManagerClient,SecretsManagerClient,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,97
com.fasterxml.jackson.core:jackson-databind:jar:2.19.0,ClassOrInterfaceType,com.fasterxml.jackson.databind.ObjectMapper,ObjectMapper,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,61
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map.Entry,getValue,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,112
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,111
com.fasterxml.jackson.core:jackson-core:jar:2.19.0,ObjectCreationExpr,com.fasterxml.jackson.core.type.TypeReference,TypeReference,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,106
software.amazon.awssdk:secretsmanager:jar:2.31.54,ClassOrInterfaceType,software.amazon.awssdk.services.secretsmanager.SecretsManagerClient,SecretsManagerClient,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,72
com.fasterxml.jackson.core:jackson-databind:jar:2.19.0,MethodCallExpr,com.fasterxml.jackson.databind.ObjectMapper,readValue,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,105
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,SecretsManagerPropertySource,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,46
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,properties,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,132
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,prefix,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,111
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,105
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,SecretsManagerPropertySource,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,137
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,secretId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,86
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,resolveSecretId,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,76
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,124
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,91
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,properties,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,112
CLIENT:client-code:N/A:N/A,NameExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,prefix,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,120
,MethodCallExpr,software.amazon.awssdk.services.secretsmanager.model.SecretsManagerRequest.Builder,build,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,86
software.amazon.awssdk:secretsmanager:jar:2.31.54,MethodCallExpr,software.amazon.awssdk.services.secretsmanager.model.GetSecretValueRequest,builder,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,86
software.amazon.awssdk:secretsmanager:jar:2.31.54,ClassOrInterfaceType,software.amazon.awssdk.services.secretsmanager.model.GetSecretValueResponse,GetSecretValueResponse,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,102
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,112
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,SecretsManagerPropertySource,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,138
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,49
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,150
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,117
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.awspring.cloud.secretsmanager.SecretsManagerPropertySource,context,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,138
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,indexOf,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,164
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Set,toArray,C:\Users\tyin363\Documents\repos\awspring__spring-cloud-aws\spring-cloud-aws-secrets-manager\src\main\java\io\awspring\cloud\secretsmanager\SecretsManagerPropertySource.java,92
