Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\User.java,14
com.baomidou:mybatis-plus-jsqlparser:jar:3.5.12,ObjectCreationExpr,com.baomidou.mybatisplus.extension.plugins.inner.BlockAttackInnerInterceptor,BlockAttackInnerInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\PagehelperApplication.java,13
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.pagehelper.User,User,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\UserMapper.java,12
com.baomidou:mybatis-plus-jsqlparser:jar:3.5.12,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.plugins.inner.BlockAttackInnerInterceptor,BlockAttackInnerInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,30
com.github.pagehelper:pagehelper:jar:6.1.0,ClassOrInterfaceType,com.github.pagehelper.PageInterceptor,PageInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,25
com.baomidou:mybatis-plus-jsqlparser:jar:3.5.12,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.plugins.inner.BlockAttackInnerInterceptor,BlockAttackInnerInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\User.java,16
com.github.pagehelper:pagehelper:jar:6.1.0,ClassOrInterfaceType,com.github.pagehelper.PageInterceptor,PageInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,24
com.github.pagehelper:pagehelper:jar:6.1.0,ObjectCreationExpr,com.github.pagehelper.PageInterceptor,PageInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\MybatisPlusPageConfig.java,25
org.springframework.boot:spring-boot:jar:3.5.0,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\PagehelperApplication.java,14
com.baomidou:mybatis-plus-core:jar:3.5.12,ClassOrInterfaceType,com.baomidou.mybatisplus.core.mapper.BaseMapper,BaseMapper,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\UserMapper.java,12
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.pagehelper.PagehelperApplication,PagehelperApplication,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-pagehelper\src\main\java\com\baomidou\mybatisplus\samples\pagehelper\PagehelperApplication.java,14
