Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.springframework.security:spring-security-config:jar:6.0.2,MethodCallExpr,org.springframework.security.config.annotation.web.builders.HttpSecurity,logout,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,51
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.1,ObjectCreationExpr,jakarta.servlet.http.Cookie,Cookie,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,34
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.1,ClassOrInterfaceType,jakarta.servlet.ServletException,ServletException,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,24
org.springframework.security:spring-security-web:jar:6.0.2,MethodCallExpr,org.springframework.security.web.authentication.AbstractAuthenticationTargetUrlRequestHandler,setDefaultTargetUrl,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,49
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.1,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,addCookie,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,36
org.springframework.security:spring-security-web:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.web.csrf.CsrfTokenRequestAttributeHandler,CsrfTokenRequestAttributeHandler,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,66
org.springframework.security:spring-security-web:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.web.util.matcher.AntPathRequestMatcher,AntPathRequestMatcher,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,54
org.springframework.security:spring-security-config:jar:6.0.2,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.AbstractAuthenticationFilterConfigurer,successHandler,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,59
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,33
org.springframework.security:spring-security-core:jar:6.0.2,ObjectCreationExpr,org.springframework.security.provisioning.InMemoryUserDetailsManager,InMemoryUserDetailsManager,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,82
org.springframework.security:spring-security-crypto:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.crypto.password.PasswordEncoder,PasswordEncoder,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,86
de.codecentric:spring-boot-admin-server:jar:3.0.2,ClassOrInterfaceType,de.codecentric.boot.admin.server.config.AdminServerProperties,AdminServerProperties,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,40
org.springframework.security:spring-security-config:jar:6.0.2,MethodCallExpr,org.springframework.security.config.annotation.web.AbstractRequestMatcherRegistry,requestMatchers,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,20
CLIENT:client-code:N/A:N/A,NameExpr,io.github.xxyopen.novel.monitor.config.CustomCsrfFilter,CSRF_COOKIE_NAME,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,30
org.springframework.security:spring-security-crypto:jar:6.0.2,MethodCallExpr,org.springframework.security.crypto.password.PasswordEncoder,encode,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,81
,MethodCallExpr,org.springframework.security.core.userdetails.User.UserBuilder,roles,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,81
,MethodCallExpr,org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer.AuthorizedUrl,permitAll,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,51
org.springframework:spring-web:jar:6.0.7,MethodCallExpr,org.springframework.web.util.WebUtils,getCookie,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,30
org.springframework.boot:spring-boot-autoconfigure:jar:3.0.5,ClassOrInterfaceType,org.springframework.boot.autoconfigure.security.SecurityProperties,SecurityProperties,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,40
org.springframework.security:spring-security-core:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.core.userdetails.UserDetails,UserDetails,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,81
de.codecentric:spring-boot-admin-server:jar:3.0.2,MethodCallExpr,de.codecentric.boot.admin.server.config.AdminServerProperties,path,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,49
org.springframework.security:spring-security-web:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.web.util.matcher.AntPathRequestMatcher,AntPathRequestMatcher,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,53
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.1,ClassOrInterfaceType,jakarta.servlet.http.HttpServletResponse,HttpServletResponse,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\CustomCsrfFilter.java,23
org.springframework.security:spring-security-config:jar:6.0.2,MethodCallExpr,org.springframework.security.config.annotation.web.builders.HttpSecurity,authorizeHttpRequests,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,51
org.springframework.security:spring-security-core:jar:6.0.2,ClassOrInterfaceType,org.springframework.security.provisioning.InMemoryUserDetailsManager,InMemoryUserDetailsManager,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-monitor\src\main\java\io\github\xxyopen\novel\monitor\config\SecuritySecureConfig.java,80
