Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,ClassOrInterfaceType,io.github.xxyopen.novel.user.feign.UserFeign,UserFeign,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\feign\UserFeign.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\req\UserRegisterReqDto.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\req\UserInfoUptReqDto.java,18
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\feign\UserFeign.java,28
,ClassOrInterfaceType,io.github.xxyopen.novel.user.feign.UserFeign,UserFeign,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\feign\UserFeign.java,21
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\req\UserLoginReqDto.java,20
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\req\UserLoginReqDto.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\UserInfoDto.java,22
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\feign\UserFeign.java,36
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\req\UserRegisterReqDto.java,25
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\201206030__novel-cloud\novel-user\novel-user-api\src\main\java\io\github\xxyopen\novel\user\dto\UserInfoDto.java,17
