Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Usage_Location,Usage_Line,Usage_Context,Usage_Type
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.xcontent.AbstractObjectParser,declareString,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkItemResponse.java,181,"org.elasticsearch.common.xcontent.AbstractObjectParser.declareString(java.util.function.BiConsumer<Value, java.lang.String>, org.elasticsearch.common.ParseField)",MethodCallExpr
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.xcontent.XContentParser,org.elasticsearch.common.xcontent.XContentParser,CLASS_CHANGE,CLASS_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkResponse.java,149,org.elasticsearch.common.xcontent.XContentParser,ClassOrInterfaceType
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.xcontent.XContentType,org.elasticsearch.common.xcontent.XContentType,CLASS_CHANGE,CLASS_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\RequestConverters.java,154,org.elasticsearch.common.xcontent.XContentType,FieldAccessExpr
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.xcontent.XContentBuilder,field,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkItemResponse.java,66,"org.elasticsearch.common.xcontent.XContentBuilder.field(java.lang.String, java.lang.String)",MethodCallExpr
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.xcontent.ConstructingObjectParser,constructorArg,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkItemResponse.java,181,org.elasticsearch.common.xcontent.ConstructingObjectParser.constructorArg(),MethodCallExpr
org.elasticsearch:elasticsearch,7.12.1,7.17.29,org.elasticsearch.action.update.UpdateRequest,doc,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\RequestConverters.java,378,org.elasticsearch.action.update.UpdateRequest.doc(),MethodCallExpr
org.elasticsearch:elasticsearch,7.12.1,7.17.29,org.elasticsearch.ElasticsearchException,fromXContent,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkItemResponse.java,184,org.elasticsearch.ElasticsearchException.fromXContent(org.elasticsearch.common.xcontent.XContentParser),MethodCallExpr
org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,org.elasticsearch.client.RestHighLevelClient,performRequestAsyncAndParseEntity,METHOD_CHANGE,METHOD_REMOVED,false,false,false,1,org.elasticsearch.client:elasticsearch-rest-high-level-client,,,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\EasyRestHighLevelClient.java,101,"org.elasticsearch.client.RestHighLevelClient.performRequestAsyncAndParseEntity(Req, org.elasticsearch.common.CheckedFunction<Req, org.elasticsearch.client.Request, java.io.IOException>, org.elasticsearch.client.RequestOptions, org.elasticsearch.common.CheckedFunction<org.elasticsearch.common.xcontent.XContentParser, Resp, java.io.IOException>, org.elasticsearch.action.ActionListener<Resp>, java.util.Set<java.lang.Integer>)",MethodCallExpr
org.elasticsearch:elasticsearch-x-content,7.12.1,7.17.29,org.elasticsearch.common.ParseField,org.elasticsearch.common.ParseField,CLASS_CHANGE,CLASS_REMOVED,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\api\bulk\BulkItemResponse.java,185,org.elasticsearch.common.ParseField,ClassOrInterfaceType
org.elasticsearch:elasticsearch,7.12.1,7.17.29,org.elasticsearch.index.query.BoolQueryBuilder,org.elasticsearch.index.query.BoolQueryBuilder,CLASS_CHANGE,METHOD_REMOVED_IN_SUPERCLASS,false,false,true,2,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.12.1,7.17.29,MINOR,C:\Users\tyin363\Documents\repos\86dbs__dbsyncer\dbsyncer-connector\dbsyncer-connector-elasticsearch\src\main\java\org\dbsyncer\connector\elasticsearch\ElasticsearchConnector.java,383,org.elasticsearch.index.query.BoolQueryBuilder,ClassOrInterfaceType
