Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,109
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletRequest,getPathInfo,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,59
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,split,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,58
,,false,ClassOrInterfaceType,org.dspace.rdf.providing.DataProviderServlet,DataProviderServlet,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,36
,,false,ObjectCreationExpr,org.dspace.rdf.providing.LocalURIRedirectionServlet,LocalURIRedirectionServlet,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\app\configuration\RDFWebConfig.java,51
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,220
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,122
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,70
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,sendError,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,105
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.ServletException,ServletException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,135
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equalsIgnoreCase,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,178
,,false,MethodCallExpr,org.dspace.rdf.providing.DataProviderServlet,serveNamedGraph,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,65
org.apache.jena:jena-core,4.10.0,true,MethodCallExpr,org.apache.jena.rdf.model.Model,isEmpty,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,139
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.ServletException,ServletException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,234
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,60
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,123
org.springframework.boot:spring-boot,3.5.4,true,ObjectCreationExpr,org.springframework.boot.web.servlet.ServletRegistrationBean,ServletRegistrationBean,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\app\configuration\RDFWebConfig.java,50
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,219
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.ServletException,ServletException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,51
org.apache.logging.log4j:log4j-api,2.25.1,false,MethodCallExpr,org.apache.logging.log4j.Logger,info,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,84
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Throwable,getMessage,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,71
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletRequest,getPathInfo,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,190
jakarta.servlet:jakarta.servlet-api,6.1.0,false,FieldAccessExpr,jakarta.servlet.http.HttpServletResponse,SC_BAD_REQUEST,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,99
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,161
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,133
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,34
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,191
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.ServletResponse,getWriter,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,151
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,59
org.apache.logging.log4j:log4j-api,2.25.1,false,ClassOrInterfaceType,org.apache.logging.log4j.Logger,Logger,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,36
org.apache.logging.log4j:log4j-api,2.25.1,false,MethodCallExpr,org.apache.logging.log4j.Logger,debug,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,152
org.apache.commons:commons-lang3,3.18.0,false,MethodCallExpr,org.apache.commons.lang3.StringUtils,isEmpty,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,187
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,sendError,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,74
org.springframework.boot:spring-boot,3.5.4,true,ClassOrInterfaceType,org.springframework.boot.web.servlet.ServletRegistrationBean,ServletRegistrationBean,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\app\configuration\RDFWebConfig.java,40
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.ServletRequest,setCharacterEncoding,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,53
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,185
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletResponse,HttpServletResponse,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,134
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,sendError,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,124
jakarta.servlet:jakarta.servlet-api,6.1.0,false,ClassOrInterfaceType,jakarta.servlet.http.HttpServletResponse,HttpServletResponse,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,233
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,sendError,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,80
jakarta.servlet:jakarta.servlet-api,6.1.0,false,MethodCallExpr,jakarta.servlet.http.HttpServletResponse,sendError,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,99
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\DataProviderServlet.java,74
org.apache.commons:commons-lang3,3.18.0,false,MethodCallExpr,org.apache.commons.lang3.StringUtils,countMatches,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,51
jakarta.servlet:jakarta.servlet-api,6.1.0,false,FieldAccessExpr,jakarta.servlet.http.HttpServletResponse,SC_NOT_FOUND,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,70
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\rdf\providing\LocalURIRedirectionServlet.java,46
org.springframework.boot:spring-boot,3.5.4,true,MethodCallExpr,org.springframework.boot.web.servlet.ServletRegistrationBean,setLoadOnStartup,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-rdf\src\main\java\org\dspace\app\configuration\RDFWebConfig.java,43
