Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,NameExpr,org.dspace.services.events.SystemEventService,log,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\services\events\SystemEventService.java,142
,MethodCallExpr,org.dspace.servicemanager.DSpaceServiceManager,checkRunning,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\servicemanager\DSpaceServiceManager.java,529
,ClassOrInterfaceType,org.dspace.services.RequestService,RequestService,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\services\factory\DSpaceServicesFactoryImpl.java,33
,ClassOrInterfaceType,org.dspace.services.model.RequestInterceptor,RequestInterceptor,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\utils\servicemanager\RequestExecutor.java,99
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\services\sessions\model\InternalRequestImpl.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\services\sessions\StatelessRequestServiceImpl.java,107
jakarta.mail:jakarta.mail-api:jar:2.1.3,ObjectCreationExpr,jakarta.mail.PasswordAuthentication,PasswordAuthentication,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\services\email\EmailServiceImpl.java,124
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\servicemanager\spring\DSpaceBeanFactoryPostProcessor.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\utils\servicemanager\RequestExecutor.java,60
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\DSpace__DSpace\dspace-services\src\main\java\org\dspace\servicemanager\config\DSpaceConfigurationPropertySource.java,38
