Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.apache.logging.log4j:log4j-api:jar:2.23.1,FieldAccessExpr,org.apache.logging.log4j.Level,FATAL,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderApplication.java,65
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.security.spec.X509EncodedKeySpec,X509EncodedKeySpec,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\JWTVerifierGenerator.java,57
org.springframework:spring-web:jar:6.2.9,ClassOrInterfaceType,org.springframework.http.ResponseEntity,ResponseEntity,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderController.java,132
CLIENT:client-code:N/A:N/A,FieldAccessExpr,anthos.samples.bankofanthos.balancereader.BalanceReaderController,ledgerReader,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderController.java,81
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderApplication.java,120
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,anthos.samples.bankofanthos.balancereader.TransactionRepository,TransactionRepository,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderController.java,49
org.springframework:spring-web:jar:6.2.9,ObjectCreationExpr,org.springframework.http.ResponseEntity,ResponseEntity,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderController.java,135
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderApplication.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderApplication.java,118
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\GoogleCloudPlatform__bank-of-anthos\src\ledger\balancereader\src\main\java\anthos\samples\bankofanthos\balancereader\BalanceReaderController.java,93
