Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\util\MacCertificateUtils.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\util\internal\CollectorsUtils.java,47
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.security.cert.X509Certificate,X509Certificate,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\trustmanager\InflatableX509ExtendedTrustManager.java,113
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\trustmanager\CombinableX509TrustManager.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.net.ssl.SSLEngine,SSLEngine,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\keymanager\LoggingX509ExtendedKeyManager.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.nio.file.Files,Files,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\util\OSCertificateUtils.java,55
JDK:java.base:N/A:N/A,MethodCallExpr,java.security.KeyStore,setCertificateEntry,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\util\KeyStoreUtils.java,383
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.net.ssl.SSLSession,SSLSession,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\keymanager\RoutableX509KeyManager.java,92
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\util\KeyManagerUtils.java,459
,NameExpr,nl.altindag.ssl.SSLFactory.Builder,trustManagers,C:\Users\tyin363\Documents\repos\Hakky54__sslcontext-kickstart\sslcontext-kickstart\src\main\java\nl\altindag\ssl\SSLFactory.java,243
