Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,ClassOrInterfaceType,net.sf.jasperreports.annotations.properties.PropertyScope,PropertyScope,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,45
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,142
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,120
,,false,ClassOrInterfaceType,net.sf.jasperreports.metadata.properties.CompiledPropertyMetadata,CompiledPropertyMetadata,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertiesMetadata.java,64
,,false,ClassOrInterfaceType,net.sf.jasperreports.metadata.properties.StandardPropertiesMetadataSerialization,StandardPropertiesMetadataSerialization,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\StandardPropertiesMetadataSerialization.java,41
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,43
,,false,FieldAccessExpr,net.sf.jasperreports.metadata.properties.CompiledPropertyMetadata,scopeQualifications,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,137
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,95
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertiesMetadata.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.OutputStream,OutputStream,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\StandardPropertiesMetadataSerialization.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,135
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,44
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,52
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\StandardPropertiesMetadataSerialization.java,39
,,false,FieldAccessExpr,net.sf.jasperreports.metadata.properties.CompiledPropertyMetadata,scopes,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,72
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,110
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\PropertyMetadataConstants.java,39
,,false,ClassOrInterfaceType,net.sf.jasperreports.metadata.properties.CompiledPropertyMetadata,CompiledPropertyMetadata,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertiesMetadata.java,54
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,77
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertiesMetadata.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,85
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\annotations\properties\Property.java,47
CLIENT:client-code,N/A,false,ClassOrInterfaceType,net.sf.jasperreports.annotations.properties.PropertyScope,PropertyScope,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,75
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\annotations\properties\Property.java,55
,,false,FieldAccessExpr,net.sf.jasperreports.metadata.properties.CompiledPropertyMetadata,scopeQualifications,C:\Users\tyin363\Documents\repos\Jaspersoft__jasperreports\tools\metadata\src\main\java\net\sf\jasperreports\metadata\properties\CompiledPropertyMetadata.java,52
