Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,NameExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,wireType,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,83
ch.qos.logback:logback-classic:jar:1.2.12,FieldAccessExpr,ch.qos.logback.classic.Level,levelInt,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,70
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,path,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,48
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,filterAttachable,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,119
ch.qos.logback:logback-classic:jar:1.2.12,MethodCallExpr,ch.qos.logback.classic.spi.ILoggingEvent,getArgumentArray,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,93
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,78
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.openhft.chronicle.logger.logback.ChronicleAppender,includeMDC,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,103
ch.qos.logback:logback-classic:jar:1.2.12,ClassOrInterfaceType,ch.qos.logback.classic.spi.ThrowableProxy,ThrowableProxy,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,84
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.openhft.chronicle.logger.logback.ChronicleAppender,includeCallerData,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,67
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.openhft.chronicle.logger.logback.ChronicleAppender,config,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,41
ch.qos.logback:logback-classic:jar:1.2.12,FieldAccessExpr,ch.qos.logback.classic.Level,DEBUG_INT,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,59
ch.qos.logback:logback-classic:jar:1.2.12,MethodCallExpr,ch.qos.logback.classic.spi.ILoggingEvent,getThrowableProxy,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,84
CLIENT:client-code:N/A:N/A,NameExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,started,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,114
ch.qos.logback:logback-classic:jar:1.2.12,FieldAccessExpr,ch.qos.logback.classic.Level,INFO_INT,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,63
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,70
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,54
CLIENT:client-code:N/A:N/A,MethodCallExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,getWireType,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\ChronicleAppender.java,55
ch.qos.logback:logback-core:jar:1.2.12,MethodCallExpr,ch.qos.logback.core.spi.ContextAwareBase,addError,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,159
CLIENT:client-code:N/A:N/A,MethodCallExpr,net.openhft.chronicle.logger.logback.AbstractChronicleAppender,getName,C:\Users\tyin363\Documents\repos\OpenHFT__Chronicle-Logger\logger-logback\src\main\java\net\openhft\chronicle\logger\logback\AbstractChronicleAppender.java,159
