Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Runtime,addShutdownHook,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,58
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,72
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,89
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,60
JDK:java.base:N/A:N/A,MethodCallExpr,java.nio.file.Paths,get,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,54
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,exit,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,54
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,76
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Integer,parseInt,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,66
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,err,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,56
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,err,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,53
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,86
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.forgerock.opendj.examples.StartStopServer,StartStopServer,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,62
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,53
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,48
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,67
JDK:java.base:N/A:N/A,MethodCallExpr,java.nio.file.Path,toString,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,54
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Runtime,getRuntime,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,58
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,exit,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,46
JDK:java.base:N/A:N/A,FieldAccessExpr,java.io.File,separator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,64
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.forgerock.opendj.examples.SetupServer,performSetup,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,68
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,55
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,73
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,61
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,52
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,err,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,45
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.File,File,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,89
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,exit,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,56
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,err,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,71
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\StartStopServer.java,67
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Integer,parseInt,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\ConfigureServer.java,58
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Integer,parseInt,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-embedded-server-examples\src\main\java\org\forgerock\opendj\examples\SetupServer.java,64
