Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\NumericStringOrderingMatchingRule.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\backends\jeb\VLVKeyComparator.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\UUIDEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\CertificateExactMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\WordEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\backends\jeb\AttributeIndex.java,34
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\OctetStringEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\IntegerFirstComponentEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\KeywordEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\OctetStringOrderingMatchingRule.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\UserPasswordExactEqualityMatchingRule.java,26
,ClassOrInterfaceType,org.opends.server.api.OrderingMatchingRule,OrderingMatchingRule,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\OctetStringOrderingMatchingRule.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\CaseIgnoreOrderingMatchingRule.java,27
,ClassOrInterfaceType,org.opends.server.api.OrderingMatchingRule,OrderingMatchingRule,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\IntegerOrderingMatchingRule.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\UniqueMemberEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\CaseIgnoreEqualityMatchingRule.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\DistinguishedNameEqualityMatchingRule.java,26
,ClassOrInterfaceType,org.opends.server.api.OrderingMatchingRule,OrderingMatchingRule,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\CaseIgnoreOrderingMatchingRule.java,27
,ClassOrInterfaceType,org.opends.server.api.OrderingMatchingRule,OrderingMatchingRule,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\NumericStringOrderingMatchingRule.java,27
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.opends.legacy.DummyByteArrayComparator,DummyByteArrayComparator,C:\Users\tyin363\Documents\repos\OpenIdentityPlatform__OpenDJ\opendj-legacy\src\main\java\org\opends\server\schema\NumericStringEqualityMatchingRule.java,26
