Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.Utils,intToLong,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,723
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.BalloonHashingFunction,spaceCost,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BalloonHashingFunction.java,227
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Utils,DEFAULT_CHARSET,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Utils.java,270
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.CharSequence,CharSequence,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashBuilder.java,144
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.AlgorithmFinder.Param,Param,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\AlgorithmFinder.java,128
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.Utils,encodeBase64,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\CompressedPBKDF2Function.java,165
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.Hash,Hash,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashBuilder.java,274
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.types.Bcrypt,valueOf,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BcryptFunction.java,240
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Utils.java,366
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,arraycopy,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,547
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Blake2b,IV,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Blake2b.java,80
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toLowerCase,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,829
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,isEmpty,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\PropertyReader.java,137
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.password4j.HashUpdater,hashBuilder,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashUpdater.java,108
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.Utils,intToLong,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,722
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.ConcurrentHashMap,ConcurrentHashMap,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,39
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.Hash,Hash,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\CompressedPBKDF2Function.java,191
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.ScryptFunction,getInstance,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\SystemChecker.java,381
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Argon2Function,ARGON2_INITIAL_DIGEST_LENGTH,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,504
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.password4j.PBKDF2Function,algorithmAsString,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\PBKDF2Function.java,256
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BalloonHashingFunction.java,203
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.ScryptFunction,parallelization,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,339
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,402
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Hash.java,288
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.types.Hmac,Hmac,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\PBKDF2Function.java,87
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,858
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Blake2b,IV,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Blake2b.java,79
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.ScryptFunction,resources,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,451
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.password4j.HashUpdate,UNVERIFIED,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashUpdater.java,82
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BcryptFunction.java,548
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.PBKDF2Function,PBKDF2Function,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashChecker.java,164
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.HashUpdate,HashUpdate,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashUpdater.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BalloonHashingFunction.java,193
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.password4j.HashUpdate,HashUpdate,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashUpdater.java,332
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Argon2Function,ARGON2_INITIAL_DIGEST_LENGTH,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,503
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.BalloonHashingFunction,timeCost,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BalloonHashingFunction.java,323
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.BalloonHashingFunction,algorithm,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BalloonHashingFunction.java,323
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.types.Hmac,fromCode,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\CompressedPBKDF2Function.java,145
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.Argon2Function,fBlaMka,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,271
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,size,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,297
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getSimpleName,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,860
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.types.Hmac,valueOf,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\CompressedPBKDF2Function.java,118
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.security.NoSuchProviderException,NoSuchProviderException,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Utils.java,577
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Argon2Function,variant,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Argon2Function.java,727
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.AlgorithmFinder,getMessageDigestInstance,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashChecker.java,231
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Properties,setProperty,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\PropertyReader.java,149
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BcryptFunction.java,332
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.password4j.ScryptFunction,blockmixSalsa8,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\ScryptFunction.java,448
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.password4j.HashBuilder,salt,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\HashBuilder.java,96
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\BcryptFunction.java,466
CLIENT:client-code:N/A:N/A,NameExpr,com.password4j.Blake2b,IV,C:\Users\tyin363\Documents\repos\Password4j__password4j\src\main\java\com\password4j\Blake2b.java,82
