Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,26
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getConstructor,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,45
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,70
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,44
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,validator,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,51
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.InvocationTargetException,getCause,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,67
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,34
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,emptyGroups,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,59
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,41
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.Method,invoke,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,40
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,validator,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,59
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,forName,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,42
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,validationMethod,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,59
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,70
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Boolean,getBoolean,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,31
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.Constructor,newInstance,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,61
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,PRINT_ERROR_STACKTRACE,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,47
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,48
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getMethod,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,44
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.InvocationTargetException,getCause,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,61
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,44
CLIENT:client-code:N/A:N/A,NameExpr,io.soabase.recordbuilder.validator.RecordBuilderValidator,constraintViolationExceptionCtor,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,53
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.reflect.InvocationTargetException,InvocationTargetException,C:\Users\tyin363\Documents\repos\Randgalt__record-builder\record-builder-validator\src\main\java\io\soabase\recordbuilder\validator\RecordBuilderValidator.java,65
