Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.jbibtex:jbibtex,1.0.19,false,MethodCallExpr,org.jbibtex.Key,toString,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,66
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,84
CLIENT:client-code,N/A,false,ClassOrInterfaceType,io.github.sparqlanything.bib.BibtexTriplifier,BibtexTriplifier,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,40
JDK:java.base,N/A,false,ClassOrInterfaceType,java.net.URISyntaxException,URISyntaxException,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,62
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.atomic.AtomicInteger,incrementAndGet,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,65
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,add,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,85
org.slf4j:slf4j-api,1.7.7,false,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,40
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Properties,Properties,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,46
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,forEach,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,58
JDK:java.base,N/A,false,ObjectCreationExpr,java.net.URI,URI,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,61
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,forEach,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,66
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,83
org.jbibtex:jbibtex,1.0.19,false,MethodCallExpr,org.jbibtex.BibTeXDatabase,getEntries,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,83
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,add,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,86
org.jbibtex:jbibtex,1.0.19,false,ClassOrInterfaceType,org.jbibtex.ParseException,ParseException,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,69
org.jbibtex:jbibtex,1.0.19,false,MethodCallExpr,org.jbibtex.Key,toString,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,61
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.HashSet,HashSet,C:\Users\tyin363\Documents\repos\SPARQL-Anything__sparql.anything\sparql-anything-bibliography\src\main\java\io\github\sparqlanything\bib\BibtexTriplifier.java,84
