Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.Executors,newSingleThreadScheduledExecutor,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\SonarLintRpcServerImpl.java,273
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.ExecutorService,shutdown,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\SonarLintRpcServerImpl.java,265
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.ExecutorService,shutdownNow,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\SonarLintRpcServerImpl.java,270
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.impl.AbstractRpcServiceDelegate,notify,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\RulesRpcServiceDelegate.java,67
org.slf4j:slf4j-api,2.0.17,true,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\SonarLintRpcServerImpl.java,75
org.eclipse.lsp4j:org.eclipse.lsp4j.jsonrpc,0.22.0,false,ObjectCreationExpr,org.eclipse.lsp4j.jsonrpc.ResponseErrorException,ResponseErrorException,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\IssueRpcServiceDelegate.java,93
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.Executors,newSingleThreadExecutor,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\SonarLintRpcServerImpl.java,98
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.impl.AbstractRpcServiceDelegate,notify,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\TelemetryRpcServiceDelegate.java,51
org.eclipse.lsp4j:org.eclipse.lsp4j.jsonrpc,0.22.0,false,ClassOrInterfaceType,org.eclipse.lsp4j.jsonrpc.messages.ResponseError,ResponseError,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\DependencyRiskRpcServiceDelegate.java,60
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.impl.SonarLintRpcServerImpl,SonarLintRpcServerImpl,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\BindingRpcServiceDelegate.java,37
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rpc.impl.RpcClientLogOutput,configScopeId,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\RpcClientLogOutput.java,45
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.impl.AbstractRpcServiceDelegate,notify,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\TelemetryRpcServiceDelegate.java,101
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Void,Void,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\AbstractRpcServiceDelegate.java,96
JDK:java.base,N/A,false,MethodCallExpr,java.lang.ThreadLocal,get,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rpc-impl\src\main\java\org\sonarsource\sonarlint\core\rpc\impl\RpcClientLogOutput.java,41
