Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.ProcessBuilder,ProcessBuilder,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,52
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Process,Process,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\Sloop.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,111
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,211
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.Function,apply,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,104
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\Sloop.java,45
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.SonarLintCancelChecker,SonarLintCancelChecker,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,240
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.Thread,Thread,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,58
JDK:java.base,N/A,false,MethodCallExpr,java.nio.file.Path,toFile,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,105
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,165
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,78
JDK:java.base,N/A,false,MethodCallExpr,java.lang.ProcessBuilder,start,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,110
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Runnable,run,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,151
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,101
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,138
org.eclipse.lsp4j:org.eclipse.lsp4j.jsonrpc,0.22.0,false,ObjectCreationExpr,org.eclipse.lsp4j.jsonrpc.ResponseErrorException,ResponseErrorException,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,270
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Consumer,Consumer,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,158
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rpc.client.ClientJsonRpcLauncher,future,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,72
JDK:java.base,N/A,false,ClassOrInterfaceType,java.net.URL,URL,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,186
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.Thread,Thread,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,57
JDK:java.base,N/A,false,MethodCallExpr,java.lang.ProcessBuilder,redirectError,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,108
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.client.SonarLintRpcClientImpl,requestAsync,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,395
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Closeable,Closeable,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,225
JDK:java.base,N/A,false,ClassOrInterfaceType,java.net.URL,URL,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,159
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,180
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.ClientJsonRpcLauncher,ClientJsonRpcLauncher,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,118
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rpc.client.ClientJsonRpcLauncher,serverProxy,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,71
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.SloopLauncher,SloopLauncher,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,151
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.client.SonarLintRpcClientImpl,notify,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,179
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.SonarLintCancelChecker,SonarLintCancelChecker,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,177
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,113
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.SonarLintRpcClientDelegate,SonarLintRpcClientDelegate,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,105
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,80
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,191
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,212
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.client.SonarLintRpcClientImpl,requestAsync,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,294
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Process,Process,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\Sloop.java,29
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Consumer,Consumer,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,156
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rpc.client.ConfigScopeNotFoundException,ConfigScopeNotFoundException,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,398
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,128
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientDelegate.java,108
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Thread,setName,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\ClientJsonRpcLauncher.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.InputStream,InputStream,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SloopLauncher.java,155
CLIENT:client-code,N/A,false,MethodCallExpr,org.sonarsource.sonarlint.core.rpc.client.SonarLintRpcClientImpl,notify,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,317
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Void,Void,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\Sloop.java,34
org.eclipse.lsp4j:org.eclipse.lsp4j.jsonrpc,0.22.0,false,ClassOrInterfaceType,org.eclipse.lsp4j.jsonrpc.ResponseErrorException,ResponseErrorException,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,188
org.eclipse.lsp4j:org.eclipse.lsp4j.jsonrpc,0.22.0,false,ClassOrInterfaceType,org.eclipse.lsp4j.jsonrpc.CancelChecker,CancelChecker,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,130
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\client\rpc-java-client\src\main\java\org\sonarsource\sonarlint\core\rpc\client\SonarLintRpcClientImpl.java,161
