Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,entry,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,96
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.RuleDefinitionsLoader,RuleDefinitionsLoader,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\RulesDefinitionExtractorContainer.java,74
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleParamDefinition.java,39
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Enum,Enum,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,70
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleParamDefinition,name,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleParamDefinition.java,43
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDescriptionSection.java,26
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleDescriptionSection.Context,displayName,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDescriptionSection.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Collectors,toSet,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,158
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleDefinition,defaultImpacts,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,72
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\LegacyHotspotRuleDescriptionSectionsGenerator.java,61
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\LegacyHotspotRuleDescriptionSectionsGenerator.java,106
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleDefinition,description,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,81
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,of,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,88
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,of,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,105
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleParamDefinition,multiple,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleParamDefinition.java,48
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleDefinition,type,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,69
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.SecurityStandards.SLCategory,SLCategory,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,148
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\LegacyHotspotRuleDescriptionSectionsGenerator.java,77
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,94
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,collect,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,150
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,keySet,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,163
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,entry,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,95
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,of,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,89
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,116
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.SecurityStandards.SLCategory,SLCategory,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,130
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.SecurityStandards.SLCategory,SLCategory,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,163
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,69
CLIENT:client-code,N/A,false,FieldAccessExpr,org.sonarsource.sonarlint.core.rule.extractor.SonarLintRuleDefinition,descriptionSections,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,82
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDescriptionSection.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,86
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\EmptyConfiguration.java,32
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,167
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SonarLintRuleDefinition.java,131
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,of,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,106
JDK:java.base,N/A,false,MethodCallExpr,java.util.Optional,empty,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\LegacyHotspotRuleDescriptionSectionsGenerator.java,109
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.RuleSettings,RuleSettings,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\RulesDefinitionExtractor.java,35
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.sonarsource.sonarlint.core.rule.extractor.SecurityStandards.SLCategory,SLCategory,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\SecurityStandards.java,114
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\SonarSource__sonarlint-core\backend\rule-extractor\src\main\java\org\sonarsource\sonarlint\core\rule\extractor\EmptyConfiguration.java,27
