Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,startsWith,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,192
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,results,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,41
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback.Entry,callback,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,74
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,sender,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,83
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback.Entry,callback,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,86
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equalsIgnoreCase,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,115
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,sender,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,38
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,net.md_5.bungee.module.cmd.send.CommandSend,CommandSend,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\PluginSend.java,11
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,100
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback.Entry,player,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,83
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,171
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,32
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,126
com.google.guava:guava:jar:33.4.8-jre,MethodCallExpr,com.google.common.collect.ImmutableSet,of,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,165
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,count,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,74
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,SendCallback,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,146
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,32
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Collections,synchronizedList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,41
com.google.guava:guava:jar:33.4.8-jre,MethodCallExpr,com.google.common.base.Joiner,on,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,190
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashSet,HashSet,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,168
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,133
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback.Entry,target,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,83
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,sender,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,47
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,startsWith,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,183
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,161
CLIENT:client-code:N/A:N/A,FieldAccessExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,results,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,80
JDK:java.base:N/A:N/A,FieldAccessExpr,java.util.Locale,ROOT,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,174
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,startsWith,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,179
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,117
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,41
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,toLowerCase,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,189
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Iterable,Iterable,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,161
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Set,add,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,194
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashSet,HashSet,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,168
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,41
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,189
CLIENT:client-code:N/A:N/A,NameExpr,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback.Entry,callback,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,88
JDK:java.base:N/A:N/A,FieldAccessExpr,java.util.Locale,ROOT,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,192
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,168
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,net.md_5.bungee.module.cmd.send.CommandSend.SendCallback,SendCallback,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\module\cmd-send\src\main\java\net\md_5\bungee\module\cmd\send\CommandSend.java,69
