Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.google.code.gson:gson,2.11.0,false,ObjectCreationExpr,com.google.gson.GsonBuilder,GsonBuilder,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\JsonConfiguration.java,28
CLIENT:client-code,N/A,false,MethodCallExpr,net.md_5.bungee.config.Configuration,getDefault,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,376
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Writer,Writer,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\JsonConfiguration.java,47
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\YamlConfiguration.java,70
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Writer,Writer,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\YamlConfiguration.java,64
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\JsonConfiguration.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,251
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,152
CLIENT:client-code,N/A,false,ClassOrInterfaceType,net.md_5.bungee.config.Configuration,Configuration,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\JsonConfiguration.java,68
CLIENT:client-code,N/A,false,ObjectCreationExpr,net.md_5.bungee.config.Configuration,Configuration,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,39
CLIENT:client-code,N/A,false,MethodCallExpr,net.md_5.bungee.config.Configuration,getList,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,192
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Reader,Reader,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\ConfigurationProvider.java,51
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\Configuration.java,360
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\SpigotMC__BungeeCord\config\src\main\java\net\md_5\bungee\config\ConfigurationProvider.java,47
