Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,MethodCallExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,responseTime,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,125
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,isEmpty,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,306
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,235
CLIENT:client-code,N/A,false,FieldAccessExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,labels,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,267
CLIENT:client-code,N/A,false,ClassOrInterfaceType,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener,DslPrometheusListener,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,59
CLIENT:client-code,N/A,false,FieldAccessExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,name,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,266
CLIENT:client-code,N/A,false,ClassOrInterfaceType,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener,DslPrometheusListener,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,83
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.DoubleStream,mapToObj,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,321
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,318
CLIENT:client-code,N/A,false,FieldAccessExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,name,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,158
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,153
CLIENT:client-code,N/A,false,ClassOrInterfaceType,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener,DslPrometheusListener,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,58
CLIENT:client-code,N/A,false,MethodCallExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,labels,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,131
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,28
CLIENT:client-code,N/A,false,FieldAccessExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener,metrics,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,70
CLIENT:client-code,N/A,false,FieldAccessExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,RESPONSE_CODE,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,126
CLIENT:client-code,N/A,false,ClassOrInterfaceType,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.SummaryPrometheusMetric,SummaryPrometheusMetric,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,298
CLIENT:client-code,N/A,false,MethodCallExpr,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.PrometheusMetric,successRatio,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,131
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,30
CLIENT:client-code,N/A,false,ClassOrInterfaceType,us.abstracta.jmeter.javadsl.prometheus.DslPrometheusListener.SuccessRatioPrometheusMetric,SuccessRatioPrometheusMetric,C:\Users\tyin363\Documents\repos\abstracta__jmeter-java-dsl\jmeter-java-dsl-prometheus\src\main\java\us\abstracta\jmeter\javadsl\prometheus\DslPrometheusListener.java,335
